#1
double data(5356,3)
720,297.98,47.2
1080,299.6,46.68
1440,298.305,44.43
1800,298.145,44.255
2160,298.47,44.255
2520,298.31,46.51
2880,298.31,46.34
3240,298.31,43.735
3600,298.31,43.825
3960,298.145,43.905
4320,298.31,43.995
4680,298.145,43.91
5040,298.31,43.56
5400,298.305,43.475
5760,298.145,43.65
6120,297.98,46.51
6480,298.95,40.79
6840,302.18,40.61
7200,297.98,46.34
7560,297.98,45.99
7920,298.31,43.645
8280,298.145,43.65
8640,298.31,43.735
9000,298.145,43.475
9360,298.31,43.3
9720,297.98,40.96
10080,298.47,43.645
10440,298.145,43.215
10800,298.63,40.79
11160,298.63,40.61
11520,298.63,43.39
11880,298.47,43.475
12240,297.98,40.44
12600,298.31,40.61
12960,297.98,40.79
13320,297.98,40.44
13680,298.31,40.61
14040,298.31,43.215
14400,298.31,45.47
14760,298.145,43.215
15120,298.47,43.3
15480,298.63,43.125
15840,298.31,43.215
16200,298.31,43.39
16560,298.145,43.56
16920,298.47,43.215
17280,298.47,43.215
17640,298.31,43.475
18000,298.145,43.3
18360,298.63,43.13
18720,298.79,43.65
19080,298.31,40.96
19440,298.31,40.79
19800,298.63,40.79
20160,298.63,40.79
20520,297.98,40.79
21600,298.305,43.475
21960,297.98,43.565
22320,298.145,43.645
22680,297.98,43.735
23040,298.145,43.905
23400,298.305,43.82
23760,298.31,43.65
24120,298.31,46.34
24480,298.305,43.735
24840,298.31,43.995
25200,298.145,43.82
26280,297.98,41.83
26640,297.98,43.91
27000,298.31,41.48
27720,298.31,45.82
28080,297.98,44.345
28440,298.47,44.605
28800,298.31,44.685
29160,298.625,44.775
29520,297.98,43.39
29880,297.98,42.69
30240,298.47,44.86
30600,297.98,46.51
30960,297.98,45.035
31320,298.31,47.38
31680,297.98,47.2
32040,298.145,45.47
32400,298.31,43.73
32760,297.98,43.91
33120,297.66,43.73
33480,297.66,44.08
34200,298.145,45.905
34560,298.145,46.075
34920,297.66,44.08
35280,297.98,43.91
36000,297.66,44.6
36360,297.66,44.08
36720,297.98,47.38
37080,297.82,46.165
37440,297.985,46.335
37800,297.66,48.42
38160,297.66,47.55
38520,297.985,46.595
38880,297.98,45.47
39240,297.66,44.95
39600,297.66,48.42
39960,297.98,48.24
40320,297.66,47.115
40680,297.66,46.595
41040,297.66,46.855
41400,297.66,45.82
41760,297.98,46.34
42120,297.66,46.16
42840,297.98,48.24
43200,297.66,47.29
43560,297.66,47.64
43920,297.66,45.99
44640,297.98,48.76
45000,298.625,47.115
45360,297.66,47.03
45720,297.985,46.945
46080,297.82,47.03
46440,297.985,47.03
47160,297.66,45.64
47520,297.82,46.68
47880,298.79,46.685
48240,298.145,46.335
48600,297.66,46.595
48960,298.145,46.505
49320,297.66,46.335
49680,297.66,46.51
50040,297.66,46.25
50400,297.82,46.075
50760,297.98,45.9
51120,297.66,44.08
51480,297.985,45.9
51840,297.66,45.555
52200,297.5,45.64
52560,297.66,45.815
52920,297.5,45.725
53280,297.98,47.38
53640,297.98,47.38
54000,298.145,45.205
54360,297.82,45.12
54720,297.98,46.51
55080,297.98,46.34
55440,297.66,46.51
55800,297.82,44.69
56160,297.66,44.69
56520,297.66,44.945
56880,297.98,42.87
57240,297.98,43.21
57600,297.98,46.86
57960,297.98,47.2
58680,297.66,46.86
59040,297.66,47.03
59400,298.145,45.385
59760,297.66,47.38
61200,297.82,46.42
61560,297.985,46.51
61920,297.82,45.725
62280,298.145,45.99
62640,297.82,46.505
63360,297.66,45.47
63720,298.31,48.59
64080,299.6,48.42
64440,297.98,48.59
65520,297.98,45.12
65880,297.66,45.47
66240,297.66,45.64
66600,297.34,48.94
66960,297.66,49.11
67320,297.66,48.07
67680,297.66,48.155
68040,297.66,48.59
68400,297.66,49.28
68760,297.98,49.63
69120,297.985,49.025
69480,297.34,48.675
69840,297.82,48.505
70200,297.5,48.59
70560,297.5,49.11
70920,297.5,49.025
71280,297.34,49.195
71640,297.34,48.68
72000,297.34,48.675
72360,297.825,48.85
72720,297.5,48.94
73080,297.34,50.67
73440,297.34,50.32
73800,297.34,49.11
74160,297.34,49.285
74520,297.02,47.55
74880,297.66,50.5
75240,297.34,50.5
75600,297.82,49.805
75960,297.18,49.455
76320,297.5,49.54
76680,297.18,49.715
77040,300.56,49.28
77400,297.02,48.76
77760,297.02,49.11
78120,297.02,49.28
78480,297.34,49.46
78840,297.18,49.975
79200,297.34,50.5
79560,297.34,50.67
79920,297.66,51.19
80640,297.02,49.8
81000,297.02,49.98
81360,297.02,49.8
81720,297.66,51.37
82440,297.02,49.8
82800,298.305,50.675
83160,297.34,51.015
83880,297.34,51.89
84240,297.66,51.89
84600,297.66,51.89
84960,297.02,51.89
85320,297.5,50.325
0,298.63,50.845
360,297.5,50.845
720,297.5,50.845
1080,297.18,51.105
1440,297.34,50.755
1800,297.34,50.585
2160,297.02,50.585
2520,297.18,50.67
2880,297.18,50.415
3240,297.34,50.585
3600,297.66,50.065
3960,297.66,50.15
4320,297.34,48.59
4680,297.5,50.325
5040,297.66,50.41
5400,297.34,49.975
5760,297.34,50.15
6120,297.34,50.065
6480,297.34,50.41
6840,297.5,50.585
7200,297.5,50.15
7560,297.02,50.5
7920,297.34,50.845
8280,297.34,51.19
8640,297.18,50.93
9000,296.69,52.06
9360,297.34,51.105
9720,297.02,50.93
10080,297.18,51.105
10440,297.18,51.19
10800,297.18,51.45
11160,297.02,51.02
11520,297.18,51.015
11880,297.18,51.105
12240,299.115,51.28
12600,297.02,51.105
12960,297.18,51.19
13320,297.02,51.105
13680,297.02,50.845
14040,297.02,50.675
14400,297.02,52.23
14760,296.855,50.755
15120,297.18,50.845
15480,297.18,50.93
15840,297.34,50.67
16200,296.855,51.105
16560,297.175,50.845
16920,297.02,50.5
17280,297.02,50.585
17640,297.02,50.495
18000,297.18,50.585
18360,297.015,50.585
18720,297.34,50.495
19080,296.855,50.325
19440,297.18,50.325
19800,297.02,50.325
20160,296.69,49.98
20520,297.34,48.59
20880,297.175,49.805
21240,296.855,50.41
21600,296.855,49.805
21960,296.69,50.15
22320,297.015,49.98
22680,296.695,49.89
23040,296.69,50.065
23400,296.855,50.235
23760,296.855,49.895
24120,296.855,50.24
24480,297.015,49.805
24840,296.69,49.98
25200,296.69,51.37
25560,297.34,49.72
25920,296.855,49.975
26280,297.015,49.805
26640,296.69,49.89
27000,296.855,49.98
27360,296.69,49.715
27720,297.18,49.98
28080,296.69,49.895
28440,297.015,50.065
28800,296.69,49.975
29160,297.18,49.895
29520,296.69,49.98
29880,296.855,49.89
30240,297.18,50.15
30600,297.5,49.975
30960,297.18,49.89
31320,297.34,49.805
31680,297.02,49.89
32040,297.18,49.805
32400,297.02,49.72
32760,297.34,49.195
33120,297.34,49.285
33480,297.34,49.285
33840,297.34,49.285
34200,297.18,48.935
34560,297.18,48.505
34920,297.34,48.765
35280,297.18,49.11
35640,297.34,48.675
36000,297.5,48.85
36360,297.18,48.765
36720,297.34,46.51
37080,297.34,49.02
37440,297.5,48.935
37800,297.34,48.68
38160,297.5,48.59
38520,297.02,49.025
38880,297.5,49.37
39240,297.34,49.11
39600,297.015,49.54
39960,297.34,49.37
40320,297.665,49.455
40680,297.18,49.285
41040,297.34,49.37
41400,297.18,49.11
41760,297.34,51.19
42120,297.02,49.37
42480,297.18,49.37
42840,297.34,49.285
43200,297.34,49.46
43560,297.18,49.11
43920,297.34,49.025
44280,297.34,48.675
44640,297.18,48.935
45000,297.18,49.11
45360,297.5,49.195
45720,297.02,49.025
46080,297.34,49.285
46440,297.02,49.02
46800,297.18,49.455
47160,297.18,48.94
47520,297.34,49.11
47880,297.02,48.765
48240,297.34,48.675
48600,297.18,48.85
48960,297.985,48.675
49320,297.02,48.94
49680,297.5,48.765
50040,297.18,48.675
50400,297.5,48.59
50760,297.34,48.155
51120,297.18,48.415
51480,297.18,47.985
51840,297.34,48.42
52200,297.02,48.68
52560,297.66,48.415
52920,297.98,46.51
53280,297.34,48.505
53640,297.015,48.5
54000,297.34,48.245
54360,297.34,48.5
54720,297.34,48.42
55080,297.66,48.42
55440,297.34,48.675
55800,297.5,48.07
56160,297.18,48.415
56520,297.5,48.155
56880,297.18,48.245
57240,297.34,48.155
57600,298.145,48.07
57960,297.34,49.98
58320,297.34,48.33
58680,297.18,48.33
59040,297.34,48.155
59400,297.34,48.5
59760,297.18,48.33
60120,297.985,48.42
60480,297.5,48.07
60840,297.34,48.155
61200,297.66,48.675
61560,297.34,48.415
61920,297.5,48.16
62280,297.5,48.24
62640,297.34,48.415
63000,297.34,48.505
63360,297.34,48.33
63720,298.145,48.505
64080,297.66,48.245
64440,297.34,48.33
64800,297.34,48.68
65160,297.5,48.24
65520,297.34,48.16
65880,297.18,48.505
66240,297.34,48.59
66600,297.34,48.33
66960,297.34,48.155
67320,297.5,48.5
67680,297.5,48.42
68040,297.5,48.505
68400,297.5,48.33
68760,297.34,48.505
69120,297.18,48.5
69480,297.34,46.86
69840,297.66,48.415
70200,297.5,48.42
70560,297.66,48.415
70920,297.18,48.675
71280,297.18,48.415
71640,297.18,48.415
72000,297.34,48.59
72360,297.18,48.33
72720,297.34,48.765
73080,297.34,48.765
73440,297.18,49.025
73800,297.18,48.59
74160,297.34,50.5
74520,297.34,48.5
74880,297.18,48.245
75240,297.02,48.675
75600,297.34,48.85
75960,297.5,48.505
76320,297.34,48.505
76680,297.18,48.765
