#1
double data(2714,3)
0,298.465,43.735
360,298.63,43.56
720,299.92,46.16
1440,298.31,41.31
1800,297.985,43.825
2160,298.145,43.735
2520,298.63,40.96
2880,298.145,43.65
3240,297.985,43.82
3600,297.985,43.82
3960,298.145,43.91
4320,297.82,44.085
4680,298.625,44.17
5040,297.98,44.515
5400,297.98,44.255
5760,297.66,44.685
6120,297.66,44.69
6480,297.66,44.515
6840,297.66,44.775
7200,297.66,43.39
7560,297.5,45.035
7920,297.66,44.945
8280,297.5,45.035
8640,297.5,44.865
9000,297.66,45.035
9360,299.435,45.12
9720,297.98,46.51
10080,297.66,45.205
10440,298.31,43.39
10800,297.5,45.21
11160,297.5,45.555
11520,297.5,45.38
11880,297.66,45.38
12240,298.31,44.08
12600,297.5,45.555
12960,297.34,47.55
13680,297.66,43.56
14040,297.66,45.555
14400,297.5,45.815
14760,297.5,45.815
15480,297.34,43.21
15840,297.34,47.9
16200,297.66,43.56
16560,297.66,43.39
16920,297.98,43.56
17280,297.66,45.12
17640,297.34,48.24
18000,297.5,45.815
18360,297.34,45.555
18720,297.5,45.555
19080,297.5,45.47
19440,297.34,45.555
19800,297.34,47.9
20160,297.34,48.07
20520,297.98,43.73
20880,297.34,47.55
21240,297.34,47.38
21600,297.5,45.64
21960,297.5,45.64
22320,297.66,45.465
22680,298.145,45.815
23040,297.5,45.9
23400,297.5,45.73
23760,297.5,45.47
24120,297.5,45.9
24480,297.34,46.075
24840,297.18,45.99
25200,297.66,43.91
25560,297.34,46.075
25920,297.34,45.725
26280,297.34,45.9
26640,297.66,43.91
27000,297.5,45.73
27360,297.82,45.73
27720,297.5,45.73
28080,297.02,48.07
28800,297.5,45.64
29160,297.985,45.465
29520,297.34,45.99
29880,297.18,45.815
30240,297.5,46.075
30600,297.985,45.465
30960,297.66,47.03
31320,297.98,47.38
31680,297.66,46.68
32040,297.82,44.6
32400,298.145,44.605
32760,298.305,44.345
33120,297.98,44.425
33480,298.145,44.425
33840,298.95,44.085
34200,298.31,42
34560,298.63,41.65
34920,298.31,43.65
35280,298.31,43.39
35640,298.31,43.645
36000,298.31,41.13
36360,298.63,41.13
36720,298.63,43.385
37080,298.47,43.91
37440,298.79,44.515
37800,297.98,46.34
38160,298.31,45.64
38520,297.98,46.16
39600,298.95,41.31
39960,299.27,42.865
40320,299.27,43.04
40680,299.755,42.955
41040,299.115,43.3
41400,299.275,43.04
41760,299.92,43.13
42120,299.435,43.04
43200,299.11,42.865
43560,298.95,43.3
43920,299.11,43.39
44280,299.11,43.385
44640,300.24,40.96
45000,299.27,45.99
45360,298.95,45.47
45720,299.92,45.99
46080,299.27,45.82
46800,299.435,43.82
47160,298.95,44.6
47520,298.63,47.55
47880,298.47,45.125
48240,300.24,45.035
58680,299.92,52.75
59040,299.755,55.005
59400,299.92,54.835
59760,299.76,55.095
60120,299.76,55.27
60480,299.76,55.01
60840,299.76,55.01
61200,299.6,57.26
61560,299.76,54.92
61920,299.595,54.835
62280,299.76,55.095
62640,299.76,54.485
63000,299.76,53.62
63360,299.92,53.62
63720,299.76,53.705
64080,300.245,53.185
64440,299.76,54.23
64800,300.08,53.36
65160,300.08,53.795
65520,299.755,53.88
65880,300.08,53.71
66240,299.92,56.22
66600,299.92,53.62
66960,300.405,53.53
67320,300.405,53.445
67680,300.08,53.445
68040,300.08,53.355
68400,300.24,53.445
68760,299.92,53.36
69120,300.24,53.01
69480,300.24,52.835
69840,299.92,52.925
70200,299.92,52.575
70560,300.24,52.495
70920,299.92,52.75
72000,299.76,52.405
72360,300.89,49.8
72720,299.92,49.8
73080,300.24,49.8
73440,300.405,52.32
73800,299.595,52.405
