#1
double data(4005,3)
40320,253.48,100.45
40680,255.41,100.45
41040,261.54,100.62
41400,281.7,71.74
41760,285.085,71.31
42120,279.115,71.31
42480,298.95,43.56
43200,298.95,42.87
43560,298.95,43.56
43920,298.95,43.73
44280,298.95,44.08
44640,299.27,44.25
45000,298.95,43.73
45720,298.79,72.435
46800,299.92,46.505
47160,298.79,46.855
47520,298.63,46.945
47880,298.79,47.29
48240,298.79,46.855
48600,298.79,46.68
48960,299.595,46.335
49320,299.275,46.165
50400,298.95,43.39
50760,298.95,46.335
51120,298.79,45.815
51480,298.63,48.94
51840,298.63,48.76
52200,298.79,46.595
52560,299.27,46.685
52920,298.79,46.595
53280,298.63,49.28
54000,299.11,46.25
54360,299.11,46.335
54720,299.11,45.985
55080,298.63,48.94
55440,299.27,43.56
55800,298.79,45.985
56160,298.95,46.335
56520,298.79,46.075
56880,299.27,44.08
57600,298.95,43.91
57960,298.95,43.73
58320,299.11,45.47
58680,299.11,45.205
59040,299.435,45.64
59400,298.95,45.815
59760,299.115,45.985
60120,298.79,45.385
60480,298.95,42.69
61200,299.595,44.255
61560,300.08,44.085
61920,298.79,44.34
62280,298.95,43.65
62640,298.95,44.17
63000,299.27,40.96
63360,298.79,44.08
63720,298.95,42.61
65160,298.63,45.12
65520,299.115,43.305
65880,298.79,43.125
66240,298.79,43.3
66960,298.95,43.65
67320,299.755,42.955
67680,298.95,45.3
68400,298.63,44.95
68760,299.435,42.955
69120,299.595,42.525
69480,299.275,42.435
69840,299.76,42
70200,299.435,41.215
70560,299.275,41.565
70920,298.95,41.74
71280,298.95,44.43
72000,298.79,42.695
72360,298.95,42.695
72720,298.31,43.3
73080,298.31,43.65
73440,298.63,43.735
73800,298.63,43.215
74160,298.47,43.13
74520,298.47,43.56
74880,298.63,40.96
75600,298.31,43.215
75960,298.47,43.735
76320,297.98,45.82
76680,297.98,45.99
77040,298.305,43.475
77400,298.145,43.475
77760,298.31,43.735
78120,298.31,43.995
79200,298.63,41.48
79560,297.98,43.82
79920,297.82,43.735
80280,297.98,46.34
80640,297.98,46.51
81000,298.31,41.31
81360,297.82,43.995
81720,297.82,44.345
83160,297.985,44.255
83520,298.465,44.17
83880,298.305,43.91
84240,298.145,44.165
84600,297.98,41.48
85320,297.98,47.03
85680,297.82,44.515
86040,297.66,44.865
0,298.305,45.035
360,297.82,45.035
720,297.66,44.86
1080,297.66,47.2
1440,297.66,45.125
