#1
double data(4931,3)
0,294.76,39.05
360,294.76,39.05
720,294.92,38.875
1080,295.245,38.705
1440,294.76,38.88
1800,294.76,38.79
2160,294.76,38.62
2520,295.565,38.79
2880,294.92,38.705
3240,297.335,38.355
3600,294.92,38.27
3960,294.76,38.445
4320,294.76,38.445
4680,294.76,38.275
5040,294.76,38.1
5400,294.44,38.185
5760,294.6,38.27
6120,294.76,38.355
6480,294.92,38.62
6840,294.6,38.27
7200,294.76,36.28
7560,294.76,40.09
7920,294.76,38.185
8280,294.76,38.36
8640,294.44,38.1
9000,294.44,38.275
9360,294.6,38.095
9720,294.6,38.185
10080,294.6,38.1
10440,294.44,38.275
10800,294.44,38.355
11160,294.6,38.27
11520,294.44,38.275
11880,294.44,38.1
12240,294.44,38.185
12600,294.44,38.445
12960,296.695,38.36
13320,295.89,38.27
13680,294.44,37.925
14040,294.6,38.36
14400,294.6,38.53
14760,294.44,38.355
15120,296.855,38.185
15480,294.76,38.185
15840,294.44,38.275
16200,294.595,38.445
16560,294.44,38.27
16920,294.76,38.355
17280,294.44,36.28
17640,293.95,38.705
18000,294.44,40.27
18360,294.76,38.705
18720,294.44,38.62
19080,294.275,38.355
19440,294.44,38.445
19800,294.44,38.445
20160,294.44,38.62
20520,294.44,38.62
20880,294.44,38.36
21240,294.44,38.79
21600,294.275,38.62
21960,294.275,38.79
22320,294.44,38.62
22680,294.275,38.795
23040,294.92,38.705
23400,294.6,38.79
23760,294.275,38.615
24120,294.44,38.705
24480,294.44,38.53
24840,294.275,38.965
25200,294.92,38.705
25560,294.275,38.88
25920,294.275,38.53
26280,294.44,38.705
26640,294.275,38.79
27000,294.275,38.79
27360,294.275,38.62
27720,294.11,36.62
28080,294.11,40.61
28440,294.11,38.615
28800,294.595,38.705
29160,294.435,39.05
29520,294.755,39.05
29880,294.435,39.315
30240,294.44,39.315
30600,294.76,39.05
30960,296.21,39.05
31320,294.6,39.225
31680,294.44,39.135
32040,294.44,38.705
32400,294.44,38.965
32760,294.44,38.965
33120,294.6,39.055
33480,294.6,39.14
33840,294.44,39.14
34200,294.44,39.135
34560,294.6,39.485
34920,294.44,39.575
35280,294.6,39.395
35640,294.76,39.485
36000,294.76,39.66
36360,294.44,39.66
36720,294.76,39.745
37080,294.76,39.66
37440,294.6,39.575
37800,294.6,39.655
38160,294.76,37.49
38520,294.76,41.65
38880,294.76,39.575
39240,294.92,39.745
39600,294.6,40.005
39960,295.085,40.005
40320,294.6,39.745
40680,294.92,39.4
41040,294.76,39.485
41400,294.92,39.57
41760,294.92,39.31
42120,295.08,39.395
42480,294.92,39.225
42840,294.76,39.14
43200,294.6,39.135
43560,295.08,38.965
43920,294.92,38.965
44280,294.92,38.88
44640,294.6,38.705
45000,294.76,39.055
45360,294.92,38.705
45720,295.08,38.875
46080,295.245,38.62
46440,294.76,38.79
46800,294.76,39.055
47160,294.76,38.705
47520,295.24,38.88
47880,294.6,38.79
48240,294.76,37.14
