#1
double data(29,3)
70200,303.79,46.51
70560,303.15,46.51
70920,303.79,46.86
71280,305.4,47.03
71640,303.47,47.38
72000,303.47,47.2
72720,303.47,47.55
73080,303.47,47.9
73800,303.79,48.07
74160,303.47,47.72
74520,303.47,47.72
74880,303.47,48.07
75240,303.79,47.9
75600,304.11,48.07
75960,303.79,48.07
76320,303.79,48.59
76680,303.15,48.59
77040,303.79,48.42
77400,303.47,48.42
77760,303.79,49.11
51480,304.76,38.88
51840,305.08,38.88
52200,305.08,38.36
52560,305.08,38.53
52920,305.08,38.36
53280,304.76,37.14
53640,305.4,34.89
54000,305.08,34.89
55080,305.73,34.02
