#1
double data(5811,3)
0,324.775,23.06
360,324.95,23.06
720,325.125,22.9
1080,323.99,23.22
1440,324.775,23.06
1800,325.295,23.06
2160,324.945,23.22
2520,324.95,22.9
2880,324.865,23.06
3240,325.21,23.06
3600,325.12,23.06
3960,325.12,22.9
4320,325.555,23.06
4680,325.125,22.9
5040,325.47,22.9
5760,324.52,23.22
6120,325.385,22.9
6480,325.56,23.06
6840,326.25,22.9
7200,325.645,22.9
7560,325.73,22.9
7920,325.56,22.9
8280,325.73,22.74
8640,325.645,22.74
9000,325.47,22.74
9360,325.73,22.74
9720,325.73,22.74
10080,325.815,22.74
10800,325.555,22.74
11160,325.99,22.74
11520,325.9,22.74
11880,325.73,22.74
12240,325.9,23.865
12600,326.25,22.74
12960,325.73,22.74
13680,326.77,23.22
14040,326.25,22.575
14400,325.905,22.9
14760,325.815,22.9
15120,326.51,22.9
15480,326.165,22.9
15840,326.25,22.9
17280,326.51,22.575
17640,326.425,22.575
18000,326.595,22.575
18360,326.34,22.74
18720,326.86,22.575
19080,326.77,23.22
19440,326.6,22.575
19800,327.115,22.415
20160,326.685,22.415
20520,326.595,24.19
20880,326.685,22.415
21240,327.205,22.415
21960,Nan,Nan
22320,326.86,22.415
22680,327.03,22.415
23040,327.03,22.415
23760,327.98,22.58
24120,327.03,22.575
24480,327.2,22.575
24840,327.29,22.575
25200,327.29,22.575
25560,326.945,22.575
25920,327.115,22.575
27000,327.205,22.575
27360,327.115,22.575
27720,327.38,22.74
28080,327.115,22.74
28440,327.29,22.9
28800,326.945,22.9
29160,326.595,23.06
29520,326.425,22.9
29880,326.165,23.22
30240,326.335,23.22
30600,326.165,23.22
30960,326.25,23.38
31320,326.425,23.22
31680,326.51,23.38
32040,326.425,23.38
32400,326.25,23.545
32760,326.425,23.545
33120,326.94,23.87
33480,325.38,23.87
34200,326.335,23.87
34560,326.16,23.545
34920,326.34,23.545
35280,326.25,24.03
35640,326.335,23.865
36000,326.335,23.865
36360,326.165,23.865
37440,326.08,24.025
37800,325.815,24.025
38160,325.9,24.025
38520,325.73,24.19
38880,325.73,24.19
39600,325.38,24.67
39960,325.385,24.35
40320,325.21,24.35
40680,325.3,24.51
41040,325.295,24.51
41400,325.12,24.51
41760,325.125,24.51
42120,325.12,24.995
42480,325.73,24.19
43200,324.775,24.675
43560,324.43,24.675
43920,324.775,24.51
44280,325.035,24.675
44640,324.69,24.675
45000,324.685,24.835
45360,324.425,24.835
45720,324.43,24.835
46800,323.995,24.835
47160,324.255,24.995
47520,324.255,24.835
48600,323.735,24.995
48960,323.65,24.995
50400,323.3,24.995
50760,324.69,24.83
51480,323.39,25.155
51840,323.65,25.32
52560,322.26,25.48
52920,323.56,24.995
54000,322.695,25.32
54360,323.125,24.995
54720,323.65,25.155
55080,322.61,24.995
55440,323.3,25.155
55800,322.95,25.155
56160,Nan,Nan
57600,323.215,25.32
57960,323.215,25.155
58320,323.04,25.32
58680,322.955,24.995
59040,322.955,25.155
59400,323.99,24.83
59760,322.78,25.64
60120,322.52,25.315
60480,321.74,25.48
61200,322.69,25.48
61560,322.435,25.315
61920,322.78,25.315
62280,322.605,25.315
62640,323.13,25.315
63000,322.695,25.48
63360,322.695,25.155
63720,322.605,25.64
64080,321.57,25.48
64800,322.78,25.32
65160,322.78,25.155
65520,322.955,25.155
65880,322.78,25.155
66240,323.04,25.155
66600,321.57,25.48
66960,323.04,25.155
67320,322.955,25.155
67680,323.3,25.155
69120,323.04,24.995
69480,323.215,25.16
69840,323.04,24.835
70920,323.305,24.835
71280,324.69,24.51
72000,323.04,24.995
72360,322.95,24.995
