#1
double data(7276,3)
0,283.16,19.995
360,282.985,19.835
720,283.16,19.835
1080,282.985,19.835
1440,283.07,19.835
1800,283.07,20
2160,283.07,19.835
2520,282.81,19.835
2880,282.9,20
3240,282.985,19.835
3600,283.07,19.675
3960,282.81,19.835
4320,282.9,19.675
4680,247.35,19.35
5040,282.725,20
5400,282.985,20
5760,282.81,19.675
6120,282.9,19.675
6480,282.81,19.675
6840,282.635,19.675
7200,282.9,19.675
7560,282.81,19.675
7920,282.725,19.51
8280,282.725,19.51
8640,282.81,19.51
9000,282.635,19.51
9360,282.635,19.51
9720,282.635,19.51
10080,282.635,19.51
10440,282.725,19.51
10800,282.81,19.51
11160,282.9,19.835
11520,282.725,19.67
11880,282.635,19.51
12240,282.81,19.51
12600,282.81,19.51
12960,282.985,19.51
13320,282.9,19.51
13680,282.725,19.51
14040,282.635,19.51
14400,282.635,19.35
14760,282.725,19.835
15120,282.635,19.51
15480,282.635,19.35
15840,282.725,19.51
16200,282.635,19.51
16560,282.9,19.35
16920,282.985,19.35
17280,282.725,19.35
17640,282.9,19.35
18000,282.9,19.35
18360,282.725,19.51
18720,282.725,19.35
19080,282.9,19.35
19440,282.9,19.35
19800,282.725,19.35
20160,283.07,19.35
20520,282.985,19.35
20880,282.985,19.35
21240,282.985,19.35
21600,282.985,19.35
21960,282.985,19.35
22320,283.07,19.35
22680,282.985,19.19
23040,283.07,19.67
23400,283.16,19.67
23760,282.985,19.35
24120,283.16,19.19
24480,283.16,19.35
24840,283.07,19.51
25200,283.16,19.35
25560,283.07,19.35
25920,318.79,19.67
26280,283.16,19.19
26640,283.245,19.19
27000,283.245,19.35
27360,283.07,19.35
27720,283.33,19.835
28080,283.505,19.19
28440,283.42,19.35
28800,283.245,19.19
29160,283.42,19.35
29520,283.505,19.35
29880,283.42,19.35
30240,283.59,19.35
30600,283.59,19.35
30960,247.35,19.03
31320,283.59,19.35
31680,283.68,19.35
32040,283.85,19.35
32400,283.765,19.35
32760,283.68,19.35
33120,283.765,19.35
33480,283.765,19.35
33840,283.85,19.35
34200,283.765,19.35
34560,284.11,19.35
34920,284.025,19.35
35280,284.025,19.51
35640,284.285,19.35
36000,284.11,19.35
36360,284.46,19.19
36720,284.37,19.35
37080,284.11,19.19
37440,284.46,19.51
37800,284.46,19.35
38160,284.63,19.19
38520,284.46,19.19
38880,284.545,19.67
39240,284.285,21.125
39600,284.37,19.19
39960,284.37,19.19
40320,284.11,19.19
40680,284.285,19.19
41040,284.11,19.19
41400,284.11,19.675
41760,284.11,19.51
