#1
double data(6245,3)
360,297.34,51.54
720,297.34,51.02
1080,297.02,51.19
1440,297.02,51.19
1800,297.34,51.02
2160,297.34,51.19
2520,297.34,51.19
2880,297.34,50.67
3240,297.34,50.5
3600,297.34,50.67
3960,297.34,50.84
4320,297.34,50.32
4680,297.34,50.32
5040,297.34,50.67
5400,297.34,50.5
5760,297.34,50.5
6120,297.34,50.15
6480,Nan,Nan
7200,297.34,50.32
7560,297.34,49.8
7920,297.34,50.15
8280,297.34,49.8
8640,297.34,50.15
9000,297.34,49.98
9360,297.34,49.8
9720,297.34,49.8
10080,297.34,49.63
10440,297.34,49.8
11160,297.34,49.28
11520,297.34,49.46
11880,Nan,Nan
13680,297.34,49.11
14040,297.34,49.28
14400,297.34,48.94
14760,297.34,49.11
15120,297.34,49.46
15480,297.34,49.11
15840,297.34,48.94
16200,297.34,49.11
16560,297.34,48.94
16920,297.34,49.46
17280,297.34,49.28
17640,297.34,48.94
18000,297.34,49.11
18360,297.34,48.94
18720,297.34,49.28
19080,Nan,Nan
21600,297.34,48.76
21960,297.34,49.28
22320,297.34,49.11
22680,297.34,49.11
23040,297.34,49.28
23400,297.34,48.76
23760,297.34,49.11
24120,297.34,48.76
24480,297.34,49.11
24840,297.34,49.28
25200,297.34,49.28
25560,297.34,49.11
26280,Nan,Nan
26640,297.34,49.28
27360,Nan,Nan
27720,297.02,49.8
28080,297.02,50.15
28440,296.69,50.15
28800,296.69,50.32
29160,296.37,50.84
29880,Nan,Nan
30240,296.05,51.89
30600,296.05,52.23
30960,295.73,51.89
31320,295.73,52.41
31680,296.05,52.06
32040,296.37,51.02
34200,296.05,49.11
34560,296.37,49.11
36360,Nan,Nan
36720,296.37,49.11
37080,296.69,49.28
37440,296.05,48.76
37800,296.05,49.46
38160,296.37,48.76
38520,296.37,48.59
38880,296.05,49.8
39600,296.37,48.94
39960,296.05,49.28
40320,296.05,49.63
40680,296.37,48.94
41040,296.37,49.28
42480,Nan,Nan
42840,296.37,49.46
43200,296.37,48.94
43560,296.05,49.11
44280,Nan,Nan
44640,296.05,49.46
45000,296.37,48.76
45360,296.05,48.94
45720,296.05,48.94
46080,296.37,48.59
46440,295.73,49.11
47520,296.05,48.59
47880,296.37,48.42
48240,296.05,48.76
48600,296.05,49.11
48960,296.37,48.24
49320,296.05,48.24
49680,296.05,48.94
50040,296.37,48.42
50400,296.05,48.07
50760,296.05,49.11
51480,Nan,Nan
51840,296.05,48.24
52200,296.37,48.42
52560,296.05,47.9
52920,295.73,49.11
53280,296.05,48.59
53640,296.37,48.07
54000,295.73,48.42
54360,296.05,48.76
54720,296.05,48.24
55080,296.05,48.76
55440,296.05,48.42
55800,296.05,48.07
56160,295.73,48.59
56520,296.05,48.24
56880,296.37,48.07
57600,296.05,48.59
57960,296.05,48.24
58320,296.05,48.76
58680,296.37,48.42
59040,296.37,48.59
59400,296.37,48.42
59760,296.37,48.42
61200,296.05,49.11
61560,296.37,49.11
61920,296.37,49.28
62280,296.37,49.28
62640,296.05,49.63
63360,Nan,Nan
63720,296.05,49.8
64080,296.37,49.8
64440,296.37,49.98
66600,296.37,51.02
66960,296.37,50.67
67320,296.37,51.02
67680,296.37,51.37
68040,296.37,51.02
68400,296.37,51.19
68760,296.37,51.71
69120,296.37,51.54
69480,296.37,51.54
69840,296.37,52.23
70200,296.37,51.89
70560,296.37,52.06
70920,296.37,51.89
71280,296.37,51.89
71640,296.37,52.06
72000,296.37,52.23
72360,296.37,52.41
72720,296.37,52.75
73080,296.37,52.93
73440,296.37,52.93
73800,296.37,52.41
74160,296.37,52.41
74520,296.37,52.58
74880,296.37,52.75
75240,296.37,53.1
75600,296.37,53.1
75960,296.37,53.1
76320,296.37,53.1
76680,Nan,Nan
78480,296.37,53.27
78840,296.05,53.79
79200,296.37,53.27
79560,296.05,53.79
79920,296.37,53.45
80280,Nan,Nan
81360,Nan,Nan
81720,296.37,53.97
82080,Nan,Nan
82800,296.05,54.14
83160,296.37,53.97
83880,296.37,54.49
84240,296.05,53.97
84600,296.37,53.97
84960,296.37,53.97
85320,296.05,54.14
85680,Nan,Nan
0,296.37,54.49
360,296.37,54.49
720,296.37,54.49
1080,296.37,54.49
1440,296.05,54.31
1800,296.05,54.31
2160,296.05,54.66
2520,296.05,54.31
2880,296.05,54.66
3240,296.05,54.31
3600,296.05,54.83
3960,296.05,54.83
4320,296.05,54.83
4680,296.05,55.01
5040,296.05,55.18
5400,296.05,54.66
5760,296.05,54.66
6120,296.05,54.83
6480,296.05,54.83
6840,296.05,54.83
7200,296.05,54.66
