#1
double data(6699,3)
0,297.98,52.41
360,297.98,52.58
720,297.98,52.58
1080,297.98,52.23
1440,297.98,51.89
1800,297.98,51.89
2160,298.31,51.54
2520,298.31,51.54
2880,298.31,51.02
3240,298.31,51.02
3600,298.31,50.67
3960,298.31,50.5
4320,298.31,50.15
4680,298.31,49.98
5040,298.31,49.98
5400,298.31,49.98
5760,298.31,49.8
6120,298.31,49.63
6480,298.31,49.28
6840,298.31,49.28
7200,298.31,49.28
7560,298.31,49.11
7920,298.63,49.11
8280,298.31,48.94
8640,298.63,48.76
9000,298.63,48.59
9360,298.63,48.76
9720,298.63,48.59
10080,298.31,48.42
10440,298.63,48.76
10800,298.63,48.76
11160,298.63,48.94
11520,298.63,48.94
11880,298.63,48.94
12240,298.63,48.94
12600,298.63,48.94
12960,298.63,48.42
13320,298.63,48.76
13680,298.63,48.76
14040,298.63,48.42
14400,298.63,48.59
14760,298.63,48.59
15120,298.63,48.42
15480,298.63,48.59
15840,298.63,48.59
16200,298.63,48.42
16560,298.63,48.42
16920,298.63,48.42
17280,298.63,48.94
17640,298.63,48.76
18000,298.63,48.59
18360,297.98,49.11
18720,297.34,50.5
19080,296.69,51.37
19440,296.37,52.06
19800,296.69,51.54
20160,296.69,51.37
20520,297.02,51.02
20880,296.69,49.8
21240,297.02,49.63
21600,296.69,48.59
21960,297.02,48.59
22320,296.37,48.42
22680,296.69,48.07
23040,297.02,48.42
23400,297.02,48.07
23760,297.02,47.9
24120,297.02,48.24
24480,296.69,47.9
24840,297.02,47.9
25200,297.34,48.42
25560,296.69,47.72
25920,297.02,47.9
26280,297.34,47.9
26640,297.02,47.38
27000,297.02,47.9
27360,297.02,47.72
27720,297.34,48.07
28080,297.02,47.55
28440,297.34,47.38
28800,297.34,47.55
29160,297.02,47.9
29520,297.34,47.55
29880,297.02,47.72
30240,297.02,47.55
30600,297.34,47.55
30960,297.02,47.38
31320,297.34,47.38
31680,297.34,47.38
32040,297.02,47.38
32400,297.34,47.38
32760,296.69,47.2
33120,297.34,47.03
33480,297.34,46.34
33840,297.34,46.86
34200,297.34,46.51
34560,297.34,46.86
34920,297.34,46.68
35280,297.34,46.16
35640,297.34,46.34
36000,297.34,46.16
36360,297.34,45.99
36720,297.34,46.16
37080,297.34,46.51
37440,297.34,46.16
37800,297.02,47.55
38160,297.34,47.2
38520,297.34,47.03
38880,297.02,47.2
39240,297.34,46.86
39600,297.02,47.55
39960,297.34,47.03
40320,296.69,47.38
40680,297.34,47.03
41040,296.69,46.86
41400,297.02,47.2
41760,297.02,46.51
42120,297.02,47.55
42480,296.69,46.51
42840,297.02,47.38
43200,296.37,47.2
43560,297.34,46.34
43920,297.34,46.86
44280,297.02,47.03
44640,296.69,47.2
45000,296.69,46.16
45360,297.34,45.99
45720,297.02,46.51
46080,296.37,46.16
46440,297.02,46.34
46800,297.02,46.16
47160,296.69,45.99
47520,296.69,45.3
47880,297.02,45.64
48240,297.02,45.3
48600,296.69,45.64
48960,297.02,44.95
49320,297.02,45.12
49680,296.69,45.12
50040,297.34,44.6
50400,296.69,44.95
50760,297.02,44.25
51120,297.02,44.25
51480,296.69,44.43
51840,297.02,44.43
52200,297.02,44.6
52560,296.37,43.91
52920,297.02,44.77
53280,296.69,44.77
53640,297.02,44.08
54000,297.02,44.6
54360,296.69,44.77
54720,297.02,44.25
55080,297.34,44.08
55440,297.02,45.12
55800,296.69,44.6
56160,297.02,45.64
56520,296.37,45.3
56880,297.02,45.47
57240,296.37,45.82
57600,297.02,45.82
57960,297.02,46.34
58320,296.69,45.3
58680,297.02,45.99
59040,296.37,45.3
59400,297.02,45.47
59760,296.69,44.77
60120,297.34,44.77
60480,296.69,45.3
60840,296.69,44.6
61200,297.02,44.6
61560,296.69,45.82
61920,297.02,45.12
62280,296.37,45.82
62640,297.02,45.47
63000,296.69,45.64
63360,297.02,45.3
63720,297.02,45.3
64080,296.37,45.82
64440,297.02,45.12
64800,296.69,45.82
65160,297.02,45.12
