#1
double data(2458,3)
0,313.33,26.125
360,312.9,25.8
1080,314.28,25.8
1440,313.76,25.8
1800,312.55,25.48
2160,313.675,25.8
2520,313.68,25.48
2880,313.33,25.64
3240,313.415,25.64
3600,313.675,25.64
3960,313.76,25.48
4320,313.5,25.48
4680,313.59,25.48
5040,313.59,25.48
5400,313.59,25.8
5760,313.675,25.32
6120,313.675,25.48
6480,313.675,25.32
6840,313.675,25.32
7200,313.935,25.32
7560,313.675,25.64
7920,313.765,25.64
8280,313.85,25.32
8640,313.765,25.32
9000,313.85,25.32
9360,313.765,25.32
10080,313.76,25.16
10440,313.935,25.155
10800,314.025,25.32
11160,314.11,24.995
11520,314.11,24.995
11880,313.85,25.155
12240,314.28,24.995
12600,314.11,25.32
12960,314.28,24.995
13680,314.28,25.16
14040,314.63,25.32
14400,314.455,24.995
14760,314.54,24.995
15120,314.37,24.835
15480,314.28,25.16
16200,314.545,25.32
16560,314.37,24.835
16920,314.72,24.835
18000,314.805,24.835
18360,314.455,24.835
18720,314.63,24.835
19080,314.89,24.835
19440,314.715,24.835
20160,315.15,24.51
20520,314.545,24.835
21600,314.545,25.965
21960,314.63,24.835
22320,314.63,24.835
22680,314.37,24.835
23040,314.37,24.835
23400,314.54,24.835
23760,314.545,24.835
24120,314.37,24.995
24480,314.11,26.77
24840,314.285,25.16
25200,314.11,25.32
25560,314.11,24.995
25920,314.46,25.16
26280,313.59,25.16
26640,313.94,25.32
27000,313.59,25.32
27360,313.415,25.48
27720,313.155,25.48
28080,311.51,26.12
28800,312.98,26.61
29160,312.895,25.965
29520,312.895,25.965
29880,312.55,25.965
30240,312.545,26.125
30600,312.205,25.965
30960,312.025,26.125
31680,313.59,25.48
32040,311.855,26.125
32400,312.285,25.64
32760,312.895,25.965
33120,312.46,26.125
33480,312.545,26.445
33840,312.2,26.605
34200,311.945,26.93
34560,311.765,26.605
34920,311.77,26.605
35280,311.245,26.77
35640,311.335,26.93
36000,311.51,26.93
36360,310.99,26.93
36720,310.905,27.095
37080,312.205,25.805
37440,312.81,25.8
39600,311.51,26.93
39960,311.51,27.74
40320,311.16,27.255
40680,310.9,27.415
41040,310.38,27.25
41400,311.165,27.9
41760,311.335,27.415
42120,311.335,27.9
42480,Nan,Nan
43200,311.595,27.415
43560,311.855,27.575
43920,311.77,27.575
44280,312.03,27.735
44640,312.375,27.895
46800,311.855,28.06
47160,312.03,28.06
47520,312.115,28.22
47880,311.94,28.06
48240,312.115,28.705
58680,316.54,30.32
59040,309.77,34.83
59400,313.5,32.255
59760,313.675,32.095
60120,313.845,31.935
60480,314.11,31.935
60840,314.02,32.095
61200,314.195,31.77
61560,314.54,31.935
61920,314.455,31.61
62280,314.28,31.45
62640,314.28,31.285
63000,314.54,31.285
63360,314.54,31.605
63720,314.37,31.125
64080,315.24,30.8
64440,315.41,31.125
64800,315.495,30.64
65160,315.41,30.64
65520,315.325,30.64
65880,317.58,29.35
66600,315.24,30.48
66960,315.67,30.48
67320,315.76,30.32
67680,315.755,30.16
68040,315.585,30.16
68400,315.67,30.16
68760,315.845,29.995
69120,315.845,29.83
69480,316.02,29.83
69840,315.755,29.995
70200,316.015,29.83
70560,315.755,29.67
70920,316.105,29.67
71280,317.75,28.7
72000,316.275,29.67
72360,316.105,29.35
72720,316.02,29.67
73080,316.45,29.67
73440,316.19,29.19
73800,316.19,29.19
74160,316.365,29.19
74520,316.625,29.19
75600,316.535,29.03
75960,316.625,28.865
76320,316.45,28.865
76680,316.535,28.545
77040,316.45,28.705
77400,316.885,28.705
77760,316.71,28.705
78120,316.8,28.865
78480,317.055,28.705
78840,316.535,28.545
79200,316.795,30.48
79560,316.625,28.385
79920,316.71,28.385
81000,316.71,28.545
81360,316.45,28.385
81720,316.62,28.385
82080,316.54,28.22
82440,316.535,28.705
82800,316.275,28.22
83160,316.535,28.055
83520,317.06,27.41
83880,315.5,28.7
84600,316.365,28.055
84960,316.02,28.055
85320,316.19,27.895
85680,316.19,27.895
86040,316.105,27.895
0,316.365,28.055
360,316.015,27.895
720,316.105,27.895
1080,315.93,27.895
1440,316.105,27.895
1800,315.93,27.735
2160,315.93,27.735
2520,315.93,27.735
2880,316.02,27.895
3240,316.02,27.895
3600,316.02,27.575
3960,315.585,27.895
4320,315.585,27.895
4680,315.67,27.575
5040,315.93,27.575
5400,315.67,27.735
