#1
double data(1951,3)
0,267.437,45.308
360,269.367,45.23
720,269.668,45.435
1080,269.222,45.368
1440,267.37,45.675
1800,270.167,45.962
2160,258.708,46.003
2520,268.043,46.093
2880,258.963,46.372
3240,260.232,46.025
3600,270.425,45.498
3960,286.668,45.313
4320,292.152,45.447
4680,295.315,46.073
5040,295.888,46.812
5400,295.873,47.4
5760,295.812,47.978
6120,295.708,48.333
6480,295.635,48.42
6840,280.768,48.708
7200,272.298,48.98
7560,264.785,49.33
7920,255.178,49.743
8280,254.997,50.18
8640,266.483,50.503
9000,242.432,50.99
9360,247.432,51.34
9720,271.087,51.512
10080,295.095,51.732
10440,295.083,51.713
10800,294.997,51.925
11160,294.02,52.292
11520,291.247,52.682
11880,293.5,53.05
12240,294.282,53.457
12600,294.473,53.887
12960,294.54,54.143
13320,294.58,54.207
13680,294.548,54.41
14040,294.507,54.725
14400,294.477,54.998
14760,294.5,55.167
15120,294.503,55.203
15480,294.478,55.323
15840,294.472,55.515
16200,294.487,55.52
16560,294.453,55.495
16920,294.432,55.437
17280,294.367,55.48
17640,294.302,55.677
18000,294.288,55.823
18360,294.317,55.712
18720,294.207,56.045
19080,294.132,56.435
19440,294.112,56.838
19800,293.965,57.29
20160,293.592,59.062
20520,274.76,60.857
20880,293.68,61.925
21240,293.708,62.22
21600,293.793,62.092
21960,293.75,61.54
22320,293.725,61.508
22680,293.702,61.253
23040,293.628,61.713
23400,293.578,61.637
23760,293.572,61.273
24120,293.59,61.403
24480,293.627,61.037
24840,293.63,60.72
25200,293.58,61.205
25560,293.518,61.88
25920,293.31,62.928
26280,293.065,65.237
26640,292.993,65.702
27000,292.82,67.812
27360,292.617,68.963
27720,292.438,71.26
28080,292.34,72.168
28440,292.268,73.438
28800,292.298,73.595
29160,292.482,72.962
29520,292.565,73.445
29880,292.678,72.615
30240,292.808,71.985
30600,292.993,71.415
30960,293.373,70.755
31320,293.303,70.098
31680,293.183,70.475
32040,293.487,69.377
32400,293.342,69.495
32760,293.342,69.265
33120,293.315,69.485
33480,293.538,69.387
33840,293.735,68.392
34200,293.85,67.89
34560,293.94,66.262
34920,293.767,68.473
35280,293.46,70.642
35640,293.448,72.267
36000,293.45,74.792
36360,293.642,71.948
36720,293.643,71.698
37080,293.61,71.328
37440,293.528,71.357
37800,293.705,71.515
38160,293.855,71.787
38520,293.942,71.08
38880,293.868,72.233
39240,293.763,72.237
39600,293.702,71.397
39960,294.075,69.697
40320,294.012,69.903
40680,293.835,71.995
41040,293.86,72.187
41400,294.248,70.732
41760,294.778,68.685
42120,294.968,68.068
42480,294.752,68.032
42840,294.843,65.958
43200,294.81,65.345
43560,294.8,65.05
43920,295.203,63.212
44280,295.302,62.38
44640,295.152,62.803
45000,294.948,62.925
45360,295.377,60.925
45720,295.47,58.995
46080,295.328,58.338
46440,295.493,57.527
46800,295.342,57.565
47160,295.285,59.775
47520,295.54,58.767
47880,295.478,58.31
48240,295.367,59.255
48600,295.515,60.4
