#1
double data(4170,3)
0,299.702,52.595
360,299.712,52.548
720,299.578,53.037
1080,299.568,52.748
1440,299.48,53.043
1800,299.42,52.838
2160,299.487,52.362
2520,299.455,52.632
2880,299.377,53.068
3240,299.297,53.752
3600,299.16,54.583
3960,298.993,55.433
4320,298.94,56.027
4680,298.847,56.82
5040,298.723,57.442
5400,298.635,58.022
5760,298.532,58.583
6120,298.418,59.165
6480,298.303,59.713
6840,298.18,60.045
7200,298.132,60.29
7560,298.062,60.537
7920,297.998,60.842
8280,297.898,61.038
8640,297.847,61.183
9000,297.73,61.562
9360,297.648,61.715
9720,297.617,61.58
10080,297.582,61.623
10440,297.518,61.79
10800,297.495,61.78
11160,297.492,61.68
11520,297.462,61.757
11880,297.462,61.677
12240,297.375,61.912
12600,297.333,62.033
12960,297.298,62.12
13320,297.26,62.188
13680,297.163,62.558
14040,297.085,62.698
14400,297.022,62.875
14760,296.99,62.823
15120,296.958,62.767
15480,296.907,62.705
15840,296.852,62.825
16200,296.783,62.967
16560,296.61,63.127
16920,296.083,63.53
17280,288.163,63.695
17640,275.625,63.643
18000,290.97,63.555
18360,295.803,63.473
18720,270.618,63.795
19080,278.732,63.255
19440,277.6,63.077
19800,263.078,63.267
20160,263.025,63.093
20520,291.38,62.913
20880,295.977,62.875
21240,296.165,62.663
21600,296.212,62.578
21960,296.198,62.702
22320,296.267,62.397
22680,296.273,62.618
23040,296.34,62.272
23400,296.393,62.137
23760,296.49,61.84
24120,296.688,61.205
24480,296.87,60.718
24840,297.053,60.133
25200,297.258,59.21
25560,297.353,59.048
25920,297.472,58.508
26280,252.765,58.215
26640,234.375,58
27000,231.433,57.457
27360,226.287,56.693
27720,223.93,55.42
28080,223.452,54.907
28440,223.295,54.502
28800,223.22,54.035
29160,223.285,52.152
29520,223.227,51.558
29880,223.202,50.592
30240,223.177,50.083
30600,223.16,50.772
30960,223.163,50.152
31320,223.167,48.525
31680,223.252,49.287
32040,233.363,49.303
32400,271.98,50.42
32760,281.297,50.683
33120,282.535,49.495
33480,284.303,47.437
33840,289.652,46.5
34200,299.04,45.482
34560,299.943,45.082
34920,300.297,46.108
35280,300.925,44.638
