#1
double data(5648,3)
0,293.745,70.888
360,293.692,71.228
720,293.678,71.338
1080,293.678,71.378
1440,293.643,71.385
1800,293.633,71.265
2160,293.59,71.473
2520,293.552,71.623
2880,293.528,71.762
3240,293.492,71.898
3600,293.507,71.733
3960,293.472,71.75
4320,293.453,71.87
4680,293.403,71.96
5040,293.362,72.227
5400,293.318,72.477
5760,293.262,72.758
6120,293.172,73.245
6480,293.13,73.505
6840,293.067,73.733
7200,292.993,74.033
7560,292.88,74.743
7920,292.782,75.313
8280,292.673,75.945
8640,292.615,76.303
9000,292.61,76.367
9360,292.562,76.587
9720,292.498,76.835
10080,292.33,77.598
10440,292.373,77.74
10800,292.452,77.388
11160,292.462,77.255
11520,292.397,77.678
11880,292.36,77.708
12240,292.368,77.433
12600,292.355,77.422
12960,292.283,77.807
13320,292.195,78.43
13680,292.163,78.692
14040,292.128,79.048
14400,292.085,79.657
14760,292.09,79.95
15120,292.077,80.37
15480,292.072,80.695
15840,292.082,80.622
16200,292.073,80.535
16560,292.055,80.618
16920,292.017,80.817
17280,291.997,81.045
17640,291.948,81.462
18000,291.973,81.413
18360,291.933,81.688
18720,291.857,82.09
19080,291.873,82.16
19440,291.822,82.408
19800,291.757,82.745
20160,291.707,83.065
20520,291.703,83.2
20880,291.735,83.328
21240,291.738,83.332
21600,291.757,83.257
21960,291.772,83.307
22320,291.742,83.52
22680,291.757,83.555
23040,291.755,83.568
23400,291.703,83.862
23760,291.728,83.768
24120,291.782,83.112
24480,291.812,82.568
24840,291.927,81.877
25200,291.945,81.342
25560,291.997,81.258
25920,292.158,80.76
26280,292.145,81.03
26640,291.978,82.247
27000,291.968,82.058
27360,292.123,81.577
27720,291.945,82.365
28080,291.935,82.508
28440,292.113,82.05
28800,292.525,79.312
29160,292.578,78.293
29520,292.812,76.658
29880,292.602,77.285
30240,293.145,75.282
30600,293.152,75.292
30960,282.59,73.29
31320,236.45,75.048
31680,237.985,73.892
32040,238.127,73.377
32400,241.985,71.422
32760,243.745,70.84
33120,243.952,70.858
33480,241.467,70.653
33840,234.31,70.245
34200,233.828,68.712
34560,233.76,67.812
34920,235.722,67.362
35280,234.107,66.89
35640,234.95,65.798
36000,238.125,64.738
36360,271.24,63.555
36720,288.835,62.605
37080,295.753,61.527
37440,295.452,60.685
37800,295.36,60.918
38160,295.295,60.34
38520,295.593,56.5
38880,296.187,54.615
39240,295.87,52.435
39600,295.812,52.93
39960,296.603,51.028
40320,296.117,53.453
40680,296.23,55.585
41040,296.007,56.163
41400,296.693,55.013
41760,296.615,54.94
42120,296.86,53.575
42480,296.81,53.712
42840,296.87,53.482
43200,297.573,51.057
43560,296.87,51.512
43920,296.708,52.463
44280,296.84,52.357
44640,297.593,50.232
45000,297.42,50.045
45360,297.032,50.573
45720,297.627,49.295
46080,297.738,48.993
46440,298.265,47.16
46800,298.005,47.305
47160,297.692,48.4
47520,297.695,48.483
47880,298.193,47.778
48240,297.958,48.567
48600,298.08,48.083
48960,298.325,47.695
49320,298.212,48.087
