#1
double data(6178,3)
7200,288.033,65.388
7560,287.998,65.835
7920,287.963,66.193
8280,287.803,66.567
8640,287.643,66.662
9000,287.713,66.713
9360,287.737,66.882
9720,287.725,67.127
10080,287.69,67.207
10440,287.633,67.528
10800,287.623,67.758
11160,287.64,67.932
11520,287.693,67.927
11880,287.66,68.275
12240,287.64,68.558
12600,287.695,68.392
12960,287.7,68.333
13320,287.685,68.563
13680,287.683,68.778
14040,287.682,69.018
14400,287.678,68.928
14760,287.722,68.867
15120,287.77,68.923
15480,287.71,69.073
15840,287.715,69.242
16200,287.75,69.147
16560,287.722,69.095
16920,287.737,69.193
17280,287.69,69.392
17640,287.685,69.653
18000,287.728,69.595
18360,287.797,69.37
18720,287.818,69.405
19080,287.788,69.565
19440,287.802,69.553
19800,287.783,69.605
20160,287.803,69.8
20520,287.813,69.812
20880,287.815,69.657
21240,287.8,69.552
21600,287.832,69.633
21960,287.83,70.185
22320,287.805,69.645
22680,287.837,69.635
23040,287.818,69.142
23400,287.847,69.318
23760,287.832,69.192
24120,287.862,68.798
24480,287.862,67.878
24840,287.895,67.997
25200,287.918,67.953
25560,287.898,68.463
25920,287.862,68.765
26280,287.91,68.598
26640,287.962,68.673
27000,287.823,71.858
27360,287.572,74.415
27720,287.7,74.208
28080,287.672,74.01
28440,287.752,73.928
28800,287.763,73.873
29160,287.728,73.732
29520,287.728,73.96
29880,287.728,73.817
30240,287.792,73.325
30600,287.952,72.958
30960,287.983,71.895
31320,288.048,71.397
31680,288.09,70.962
32040,286.878,70.293
32400,287.835,69.965
32760,287.822,71.153
33120,287.682,74.86
33480,287.497,75.737
33840,287.422,76.64
34200,287.307,77.582
34560,287.238,78.62
34920,287.152,79.28
35280,287.135,80.813
35640,287.17,81.73
36000,287.087,81.913
36360,287.028,82.568
36720,287.195,82.412
37080,287.212,82.33
37440,286.997,79.833
37800,287.053,77.092
38160,287.092,73.772
38520,287.092,73.277
38880,286.96,72.425
39240,286.86,72.208
39600,286.882,72.097
39960,286.902,71.58
40320,286.938,71.232
40680,287.117,70.605
41040,287.188,70.57
41400,287.198,69.373
41760,287.267,68.747
42120,287.29,68.898
42480,287.388,68.73
42840,287.39,68.44
43200,287.465,68.107
43560,287.428,68.485
43920,287.44,68.928
44280,287.363,69.72
44640,287.463,69.93
45000,287.518,70.285
45360,287.608,70.36
45720,287.55,70.958
46080,287.573,71.415
46440,287.545,71.765
46800,287.538,72.177
47160,287.657,72.37
47520,287.677,72.61
47880,287.77,72.55
48240,287.788,72.688
48600,287.72,73.228
48960,287.777,73.295
49320,287.727,73.91
49680,287.782,74.052
50040,287.85,74.242
50400,287.81,74.913
50760,287.737,75.698
51120,287.672,76.593
51480,287.703,76.592
51840,287.643,76.843
52200,287.575,77.392
52560,287.533,78.073
52920,287.562,78.682
53280,287.423,78.248
53640,287.482,77.835
54000,287.49,77.2
54360,287.475,77.218
54720,287.533,77.455
55080,287.565,77.988
55440,287.502,78.842
55800,287.488,79.775
56160,287.46,80.872
56520,287.258,82.598
56880,287.058,84.202
57240,286.905,85.488
57600,286.893,86.697
57960,275.405,87.53
58320,249.017,88.618
58680,230.442,89.647
59040,248.178,90.812
59400,275.405,92.46
59760,251.887,93.285
60120,247.558,94.158
60480,251.595,94.702
60840,284.673,95.505
61200,283.878,95.928
61560,285.477,96.275
61920,285.285,96.615
62280,285.157,96.84
62640,285.068,97.047
63000,285.097,97.278
63360,285.037,97.482
63720,284.898,97.498
64080,281.123,97.52
64440,241.743,97.432
64800,274.377,97.3
65160,286.362,97.318
65520,286.477,97.637
65880,286.442,98.063
66240,286.33,98.192
66600,286.393,98.367
66960,286.418,98.548
67320,286.357,98.768
67680,286.363,99.002
68040,286.31,99.115
68400,286.362,99.288
68760,286.36,99.427
69120,286.412,99.507
69480,286.39,99.547
69840,286.413,99.603
70200,286.373,99.593
70560,286.403,99.65
70920,286.308,99.613
71280,286.29,99.632
71640,286.318,99.677
72000,286.28,99.712
