date;time;temp@3.5;umid@3.5
2015-08-01;00:12;24.83;47.2
2015-08-01;00:18;26.45;46.68
2015-08-01;00:24;25.155;44.43
2015-08-01;00:30;24.995;44.255
2015-08-01;00:36;25.32;44.255
2015-08-01;00:42;25.16;46.51
2015-08-01;00:48;25.16;46.34
2015-08-01;00:54;25.16;43.735
2015-08-01;01:00;25.16;43.825
2015-08-01;01:06;24.995;43.905
2015-08-01;01:12;25.16;43.995
2015-08-01;01:18;24.995;43.91
2015-08-01;01:24;25.16;43.56
2015-08-01;01:30;25.155;43.475
2015-08-01;01:36;24.995;43.65
2015-08-01;01:42;24.83;46.51
2015-08-01;01:48;25.8;40.79
2015-08-01;01:54;29.03;40.61
2015-08-01;02:00;24.83;46.34
2015-08-01;02:06;24.83;45.99
2015-08-01;02:12;25.16;43.645
2015-08-01;02:18;24.995;43.65
2015-08-01;02:24;25.16;43.735
2015-08-01;02:30;24.995;43.475
2015-08-01;02:36;25.16;43.3
2015-08-01;02:42;24.83;40.96
2015-08-01;02:48;25.32;43.645
2015-08-01;02:54;24.995;43.215
2015-08-01;03:00;25.48;40.79
2015-08-01;03:06;25.48;40.61
2015-08-01;03:12;25.48;43.39
2015-08-01;03:18;25.32;43.475
2015-08-01;03:24;24.83;40.44
2015-08-01;03:30;25.16;40.61
2015-08-01;03:36;24.83;40.79
2015-08-01;03:42;24.83;40.44
2015-08-01;03:48;25.16;40.61
2015-08-01;03:54;25.16;43.215
2015-08-01;04:00;25.16;45.47
2015-08-01;04:06;24.995;43.215
2015-08-01;04:12;25.32;43.3
2015-08-01;04:18;25.48;43.125
2015-08-01;04:24;25.16;43.215
2015-08-01;04:30;25.16;43.39
2015-08-01;04:36;24.995;43.56
2015-08-01;04:42;25.32;43.215
2015-08-01;04:48;25.32;43.215
2015-08-01;04:54;25.16;43.475
2015-08-01;05:00;24.995;43.3
2015-08-01;05:06;25.48;43.13
2015-08-01;05:12;25.64;43.65
2015-08-01;05:18;25.16;40.96
2015-08-01;05:24;25.16;40.79
2015-08-01;05:30;25.48;40.79
2015-08-01;05:36;25.48;40.79
2015-08-01;05:42;24.83;40.79
2015-08-01;06:00;25.155;43.475
2015-08-01;06:06;24.83;43.565
