date;time;temp@3.5;umid@3.5
2015-06-11;11:12;-19.67;100.45
2015-06-11;11:18;-17.74;100.45
2015-06-11;11:24;-11.61;100.62
2015-06-11;11:30;8.55;71.74
2015-06-11;11:36;11.935;71.31
2015-06-11;11:42;5.965;71.31
2015-06-11;11:48;25.8;43.56
2015-06-11;12:00;25.8;42.87
2015-06-11;12:06;25.8;43.56
2015-06-11;12:12;25.8;43.73
2015-06-11;12:18;25.8;44.08
2015-06-11;12:24;26.12;44.25
2015-06-11;12:30;25.8;43.73
2015-06-11;12:42;25.64;72.435
2015-06-11;13:00;26.77;46.505
2015-06-11;13:06;25.64;46.855
2015-06-11;13:12;25.48;46.945
2015-06-11;13:18;25.64;47.29
2015-06-11;13:24;25.64;46.855
2015-06-11;13:30;25.64;46.68
2015-06-11;13:36;26.445;46.335
2015-06-11;13:42;26.125;46.165
2015-06-11;14:00;25.8;43.39
2015-06-11;14:06;25.8;46.335
2015-06-11;14:12;25.64;45.815
2015-06-11;14:18;25.48;48.94
2015-06-11;14:24;25.48;48.76
2015-06-11;14:30;25.64;46.595
2015-06-11;14:36;26.12;46.685
2015-06-11;14:42;25.64;46.595
2015-06-11;14:48;25.48;49.28
2015-06-11;15:00;25.96;46.25
2015-06-11;15:06;25.96;46.335
2015-06-11;15:12;25.96;45.985
2015-06-11;15:18;25.48;48.94
2015-06-11;15:24;26.12;43.56
2015-06-11;15:30;25.64;45.985
2015-06-11;15:36;25.8;46.335
2015-06-11;15:42;25.64;46.075
2015-06-11;15:48;26.12;44.08
2015-06-11;16:00;25.8;43.91
2015-06-11;16:06;25.8;43.73
2015-06-11;16:12;25.96;45.47
2015-06-11;16:18;25.96;45.205
2015-06-11;16:24;26.285;45.64
2015-06-11;16:30;25.8;45.815
2015-06-11;16:36;25.965;45.985
2015-06-11;16:42;25.64;45.385
2015-06-11;16:48;25.8;42.69
2015-06-11;17:00;26.445;44.255
2015-06-11;17:06;26.93;44.085
2015-06-11;17:12;25.64;44.34
2015-06-11;17:18;25.8;43.65
2015-06-11;17:24;25.8;44.17
2015-06-11;17:30;26.12;40.96
2015-06-11;17:36;25.64;44.08
2015-06-11;17:42;25.8;42.61
2015-06-11;18:06;25.48;45.12
2015-06-11;18:12;25.965;43.305
2015-06-11;18:18;25.64;43.125
2015-06-11;18:24;25.64;43.3
2015-06-11;18:36;25.8;43.65
2015-06-11;18:42;26.605;42.955
2015-06-11;18:48;25.8;45.3
2015-06-11;19:00;25.48;44.95
2015-06-11;19:06;26.285;42.955
2015-06-11;19:12;26.445;42.525
2015-06-11;19:18;26.125;42.435
2015-06-11;19:24;26.61;42.0
2015-06-11;19:30;26.285;41.215
2015-06-11;19:36;26.125;41.565
2015-06-11;19:42;25.8;41.74
2015-06-11;19:48;25.8;44.43
2015-06-11;20:00;25.64;42.695
2015-06-11;20:06;25.8;42.695
2015-06-11;20:12;25.16;43.3
2015-06-11;20:18;25.16;43.65
2015-06-11;20:24;25.48;43.735
2015-06-11;20:30;25.48;43.215
2015-06-11;20:36;25.32;43.13
2015-06-11;20:42;25.32;43.56
2015-06-11;20:48;25.48;40.96
2015-06-11;21:00;25.16;43.215
2015-06-11;21:06;25.32;43.735
2015-06-11;21:12;24.83;45.82
2015-06-11;21:18;24.83;45.99
2015-06-11;21:24;25.155;43.475
2015-06-11;21:30;24.995;43.475
2015-06-11;21:36;25.16;43.735
2015-06-11;21:42;25.16;43.995
2015-06-11;22:00;25.48;41.48
2015-06-11;22:06;24.83;43.82
2015-06-11;22:12;24.67;43.735
2015-06-11;22:18;24.83;46.34
2015-06-11;22:24;24.83;46.51
2015-06-11;22:30;25.16;41.31
2015-06-11;22:36;24.67;43.995
2015-06-11;22:42;24.67;44.345
2015-06-11;23:06;24.835;44.255
2015-06-11;23:12;25.315;44.17
2015-06-11;23:18;25.155;43.91
2015-06-11;23:24;24.995;44.165
2015-06-11;23:30;24.83;41.48
2015-06-11;23:42;24.83;47.03
2015-06-11;23:48;24.67;44.515
2015-06-11;23:54;24.51;44.865
2015-06-12;00:00;25.155;45.035
2015-06-12;00:06;24.67;45.035
2015-06-12;00:12;24.51;44.86
