date;time;temp@3.5;umid@3.5
2015-07-01;00:00;25.315;43.735
2015-07-01;00:06;25.48;43.56
2015-07-01;00:12;26.77;46.16
2015-07-01;00:24;25.16;41.31
2015-07-01;00:30;24.835;43.825
2015-07-01;00:36;24.995;43.735
2015-07-01;00:42;25.48;40.96
2015-07-01;00:48;24.995;43.65
2015-07-01;00:54;24.835;43.82
2015-07-01;01:00;24.835;43.82
2015-07-01;01:06;24.995;43.91
2015-07-01;01:12;24.67;44.085
2015-07-01;01:18;25.475;44.17
2015-07-01;01:24;24.83;44.515
2015-07-01;01:30;24.83;44.255
2015-07-01;01:36;24.51;44.685
2015-07-01;01:42;24.51;44.69
2015-07-01;01:48;24.51;44.515
2015-07-01;01:54;24.51;44.775
2015-07-01;02:00;24.51;43.39
2015-07-01;02:06;24.35;45.035
2015-07-01;02:12;24.51;44.945
2015-07-01;02:18;24.35;45.035
2015-07-01;02:24;24.35;44.865
2015-07-01;02:30;24.51;45.035
2015-07-01;02:36;26.285;45.12
2015-07-01;02:42;24.83;46.51
2015-07-01;02:48;24.51;45.205
2015-07-01;02:54;25.16;43.39
2015-07-01;03:00;24.35;45.21
2015-07-01;03:06;24.35;45.555
2015-07-01;03:12;24.35;45.38
2015-07-01;03:18;24.51;45.38
2015-07-01;03:24;25.16;44.08
2015-07-01;03:30;24.35;45.555
2015-07-01;03:36;24.19;47.55
2015-07-01;03:48;24.51;43.56
2015-07-01;03:54;24.51;45.555
2015-07-01;04:00;24.35;45.815
2015-07-01;04:06;24.35;45.815
2015-07-01;04:18;24.19;43.21
2015-07-01;04:24;24.19;47.9
2015-07-01;04:30;24.51;43.56
2015-07-01;04:36;24.51;43.39
2015-07-01;04:42;24.83;43.56
2015-07-01;04:48;24.51;45.12
2015-07-01;04:54;24.19;48.24
2015-07-01;05:00;24.35;45.815
2015-07-01;05:06;24.19;45.555
2015-07-01;05:12;24.35;45.555
2015-07-01;05:18;24.35;45.47
2015-07-01;05:24;24.19;45.555
2015-07-01;05:30;24.19;47.9
2015-07-01;05:36;24.19;48.07
2015-07-01;05:42;24.83;43.73
2015-07-01;05:48;24.19;47.55
2015-07-01;05:54;24.19;47.38
2015-07-01;06:00;24.35;45.64
2015-07-01;06:06;24.35;45.64
2015-07-01;06:12;24.51;45.465
2015-07-01;06:18;24.995;45.815
2015-07-01;06:24;24.35;45.9
2015-07-01;06:30;24.35;45.73
2015-07-01;06:36;24.35;45.47
2015-07-01;06:42;24.35;45.9
2015-07-01;06:48;24.19;46.075
2015-07-01;06:54;24.03;45.99
2015-07-01;07:00;24.51;43.91
2015-07-01;07:06;24.19;46.075
2015-07-01;07:12;24.19;45.725
2015-07-01;07:18;24.19;45.9
2015-07-01;07:24;24.51;43.91
2015-07-01;07:30;24.35;45.73
2015-07-01;07:36;24.67;45.73
2015-07-01;07:42;24.35;45.73
2015-07-01;07:48;23.87;48.07
2015-07-01;08:00;24.35;45.64
2015-07-01;08:06;24.835;45.465
2015-07-01;08:12;24.19;45.99
2015-07-01;08:18;24.03;45.815
2015-07-01;08:24;24.35;46.075
2015-07-01;08:30;24.835;45.465
2015-07-01;08:36;24.51;47.03
2015-07-01;08:42;24.83;47.38
2015-07-01;08:48;24.51;46.68
2015-07-01;08:54;24.67;44.6
2015-07-01;09:00;24.995;44.605
2015-07-01;09:06;25.155;44.345
2015-07-01;09:12;24.83;44.425
2015-07-01;09:18;24.995;44.425
2015-07-01;09:24;25.8;44.085
2015-07-01;09:30;25.16;42.0
2015-07-01;09:36;25.48;41.65
2015-07-01;09:42;25.16;43.65
2015-07-01;09:48;25.16;43.39
2015-07-01;09:54;25.16;43.645
2015-07-01;10:00;25.16;41.13
2015-07-01;10:06;25.48;41.13
2015-07-01;10:12;25.48;43.385
