date;time;temp@3.5;umid@3.5
2015-05-01;00:00;21.61;39.05
2015-05-01;00:06;21.61;39.05
2015-05-01;00:12;21.77;38.875
2015-05-01;00:18;22.095;38.705
2015-05-01;00:24;21.61;38.88
2015-05-01;00:30;21.61;38.79
2015-05-01;00:36;21.61;38.62
2015-05-01;00:42;22.415;38.79
2015-05-01;00:48;21.77;38.705
2015-05-01;00:54;24.185;38.355
2015-05-01;01:00;21.77;38.27
2015-05-01;01:06;21.61;38.445
2015-05-01;01:12;21.61;38.445
2015-05-01;01:18;21.61;38.275
2015-05-01;01:24;21.61;38.1
2015-05-01;01:30;21.29;38.185
2015-05-01;01:36;21.45;38.27
2015-05-01;01:42;21.61;38.355
2015-05-01;01:48;21.77;38.62
2015-05-01;01:54;21.45;38.27
2015-05-01;02:00;21.61;36.28
2015-05-01;02:06;21.61;40.09
2015-05-01;02:12;21.61;38.185
2015-05-01;02:18;21.61;38.36
2015-05-01;02:24;21.29;38.1
2015-05-01;02:30;21.29;38.275
2015-05-01;02:36;21.45;38.095
2015-05-01;02:42;21.45;38.185
2015-05-01;02:48;21.45;38.1
2015-05-01;02:54;21.29;38.275
2015-05-01;03:00;21.29;38.355
2015-05-01;03:06;21.45;38.27
2015-05-01;03:12;21.29;38.275
2015-05-01;03:18;21.29;38.1
2015-05-01;03:24;21.29;38.185
2015-05-01;03:30;21.29;38.445
2015-05-01;03:36;23.545;38.36
2015-05-01;03:42;22.74;38.27
2015-05-01;03:48;21.29;37.925
2015-05-01;03:54;21.45;38.36
2015-05-01;04:00;21.45;38.53
2015-05-01;04:06;21.29;38.355
2015-05-01;04:12;23.705;38.185
2015-05-01;04:18;21.61;38.185
2015-05-01;04:24;21.29;38.275
2015-05-01;04:30;21.445;38.445
2015-05-01;04:36;21.29;38.27
2015-05-01;04:42;21.61;38.355
2015-05-01;04:48;21.29;36.28
2015-05-01;04:54;20.8;38.705
2015-05-01;05:00;21.29;40.27
2015-05-01;05:06;21.61;38.705
2015-05-01;05:12;21.29;38.62
2015-05-01;05:18;21.125;38.355
2015-05-01;05:24;21.29;38.445
2015-05-01;05:30;21.29;38.445
2015-05-01;05:36;21.29;38.62
2015-05-01;05:42;21.29;38.62
2015-05-01;05:48;21.29;38.36
2015-05-01;05:54;21.29;38.79
2015-05-01;06:00;21.125;38.62
2015-05-01;06:06;21.125;38.79
2015-05-01;06:12;21.29;38.62
2015-05-01;06:18;21.125;38.795
2015-05-01;06:24;21.77;38.705
2015-05-01;06:30;21.45;38.79
2015-05-01;06:36;21.125;38.615
2015-05-01;06:42;21.29;38.705
2015-05-01;06:48;21.29;38.53
2015-05-01;06:54;21.125;38.965
