date;time;umid@1m;temp@1m;temp@3.5m;umid@3.5m
2015-08-01;00:06;12.26;24.03;;
2015-08-01;00:12;12.26;24.19;20.64;41.98
2015-08-01;00:18;12.09;24.03;20.64;42.14
2015-08-01;00:24;12.26;24.03;20.64;41.83
2015-08-01;00:30;12.0;24.51;20.64;41.67
2015-08-01;00:36;12.0;24.19;20.64;41.51
2015-08-01;00:42;11.83;24.35;20.64;41.35
2015-08-01;00:48;12.09;24.19;20.64;41.35
2015-08-01;00:54;11.83;24.19;20.64;41.2
2015-08-01;01:00;11.74;24.35;20.64;41.2
2015-08-01;01:06;-25.8;24.19;20.64;41.35
2015-08-01;01:12;49.28;24.51;20.32;41.04
2015-08-01;01:18;11.655;24.35;20.64;41.35
2015-08-01;01:24;11.57;24.19;20.64;41.35
2015-08-01;01:30;11.655;24.19;20.64;41.04
2015-08-01;01:36;11.57;24.35;20.64;40.88
2015-08-01;01:42;11.48;24.19;20.64;41.04
2015-08-01;01:48;11.57;24.19;;
2015-08-01;02:00;11.655;24.35;20.64;40.88
2015-08-01;02:06;11.57;24.19;20.64;40.72
2015-08-01;02:12;11.57;24.19;20.64;40.88
2015-08-01;02:18;11.31;24.35;20.64;40.57
2015-08-01;02:24;11.48;24.35;20.64;40.41
2015-08-01;02:30;11.22;24.51;20.96;40.41
2015-08-01;02:36;11.31;24.19;20.64;40.41
2015-08-01;02:42;11.22;24.51;20.64;40.57
2015-08-01;02:48;11.48;24.19;20.96;40.57
2015-08-01;02:54;11.31;24.51;20.96;40.25
2015-08-01;03:06;;;20.96;40.09
2015-08-01;03:12;11.31;24.35;20.96;39.93
2015-08-01;03:18;11.22;24.19;;
2015-08-01;03:54;11.22;24.35;20.64;39.78
2015-08-01;04:00;11.135;24.51;20.64;39.78
2015-08-01;04:06;11.22;24.35;20.64;39.78
2015-08-01;04:12;10.96;24.35;20.64;39.78
2015-08-01;04:18;11.05;24.35;20.64;40.09
2015-08-01;04:24;11.22;24.67;20.64;40.25
2015-08-01;04:30;11.22;24.35;20.64;40.25
2015-08-01;04:36;10.96;24.51;20.96;40.09
2015-08-01;04:42;11.22;24.35;20.96;40.09
2015-08-01;04:48;11.22;24.35;20.64;39.93
2015-08-01;04:54;10.96;24.35;20.96;39.93
2015-08-01;05:00;11.135;24.35;20.96;39.93
2015-08-01;05:06;11.05;24.35;20.64;39.93
2015-08-01;05:12;11.22;24.51;20.96;39.93
2015-08-01;05:18;;;20.64;39.78
2015-08-01;06:00;11.135;24.35;20.96;39.93
2015-08-01;06:06;11.135;24.35;20.96;40.25
2015-08-01;06:12;11.31;24.35;20.96;40.09
2015-08-01;06:18;11.22;24.51;20.64;39.93
2015-08-01;06:24;11.05;24.35;20.96;40.41
2015-08-01;06:30;11.22;24.35;20.96;40.41
2015-08-01;06:36;11.135;24.35;20.96;40.09
2015-08-01;06:42;11.22;24.35;20.96;40.09
2015-08-01;06:48;11.395;24.35;20.96;40.09
2015-08-01;06:54;11.135;24.51;20.64;39.93
2015-08-01;07:00;11.135;24.35;20.96;39.93
2015-08-01;07:06;11.395;24.51;20.96;40.09
2015-08-01;07:18;11.135;24.35;20.96;40.09
2015-08-01;07:24;11.395;24.35;21.29;40.09
2015-08-01;07:36;-25.8;23.54;;
2015-08-01;07:42;11.655;23.705;20.64;41.67
2015-08-01;07:48;11.915;23.705;20.32;42.3
2015-08-01;07:54;12.175;23.385;20.32;42.93
2015-08-01;08:00;12.26;23.06;20.32;43.25
2015-08-01;08:06;50.67;23.54;20.32;43.25
2015-08-01;08:18;12.785;22.735;20.0;44.19
2015-08-01;08:24;13.215;22.415;20.0;44.51
2015-08-01;08:30;13.735;22.255;20.0;44.66
2015-08-01;08:36;13.475;22.74;20.0;44.19
2015-08-01;08:42;12.785;22.9;20.0;43.4
2015-08-01;08:48;13.13;22.735;20.0;43.88
2015-08-01;08:54;12.87;22.9;20.32;43.09
2015-08-01;09:30;12.175;22.9;20.32;42.46
2015-08-01;10:06;12.52;23.22;20.32;43.09
2015-08-01;10:12;12.52;23.06;20.32;43.25
2015-08-01;10:18;51.02;23.54;20.64;43.72
2015-08-01;10:24;12.61;22.9;20.0;42.77
2015-08-01;10:30;12.61;22.9;20.32;43.4
2015-08-01;10:36;12.695;22.9;20.32;43.72
2015-08-01;10:42;12.61;23.22;20.32;43.25
2015-08-01;10:48;-25.8;22.58;;
2015-08-01;11:00;12.61;23.22;20.32;43.4
2015-08-01;11:06;12.61;22.735;;
2015-08-01;11:12;12.52;23.06;20.32;43.56
2015-08-01;11:18;12.61;23.22;20.64;44.19
2015-08-01;11:24;12.695;22.9;20.32;42.93
2015-08-01;11:48;51.54;23.54;;
2015-08-01;11:54;13.045;22.9;20.0;43.72
2015-08-01;12:00;12.955;23.22;20.32;44.19
2015-08-01;12:06;-25.8;22.9;20.32;44.66
2015-08-01;12:18;50.84;23.22;;
2015-08-01;12:24;12.955;23.06;20.32;43.4
2015-08-01;12:30;12.52;22.9;20.0;43.56
2015-08-01;12:36;12.695;22.9;20.64;43.4
2015-08-01;12:42;12.52;22.735;20.0;43.09
2015-08-01;12:48;12.61;22.9;20.0;43.25
2015-08-01;12:54;12.52;22.9;20.32;42.61
2015-08-01;13:06;50.67;23.22;;
2015-08-01;13:12;-25.8;23.22;20.32;42.77
2015-08-01;13:18;12.435;22.9;20.0;42.93
2015-08-01;13:24;12.35;22.9;20.0;42.14
2015-08-01;13:30;12.435;23.06;20.0;42.77
2015-08-01;13:36;12.61;23.06;20.32;43.09
2015-08-01;13:42;12.435;24.995;20.32;42.61
2015-08-01;13:48;12.52;22.735;20.0;42.61
2015-08-01;13:54;12.35;22.9;20.0;42.61
2015-08-01;14:00;12.35;23.06;20.32;42.77
2015-08-01;14:06;12.09;22.735;20.0;42.14
2015-08-01;14:18;-25.8;22.9;20.32;42.46
2015-08-01;14:24;12.09;23.06;20.32;41.83
