date;time;umid@1m;temp@1m;temp@3.5m;umid@3.5m
2015-06-01;00:00;51.625;23.06;20.32;42.77
2015-06-01;00:06;51.8;23.06;20.32;42.93
2015-06-01;00:12;51.975;22.9;20.0;43.4
2015-06-01;00:18;50.84;23.22;20.0;43.4
2015-06-01;00:24;51.625;23.06;20.32;43.25
2015-06-01;00:30;52.145;23.06;20.0;43.09
2015-06-01;00:36;51.795;23.22;20.32;43.25
2015-06-01;00:42;51.8;22.9;;
2015-06-01;00:48;51.715;23.06;20.32;43.4
2015-06-01;00:54;52.06;23.06;20.0;43.09
2015-06-01;01:00;51.97;23.06;20.0;43.25
2015-06-01;01:06;51.97;22.9;20.0;43.25
2015-06-01;01:12;52.405;23.06;20.0;43.25
2015-06-01;01:18;51.975;22.9;20.0;43.4
2015-06-01;01:24;52.32;22.9;20.0;43.56
2015-06-01;01:36;51.37;23.22;;
2015-06-01;01:42;52.235;22.9;20.0;43.56
2015-06-01;01:48;52.41;23.06;20.0;43.4
2015-06-01;01:54;53.1;22.9;20.0;43.4
2015-06-01;02:00;52.495;22.9;20.0;43.4
2015-06-01;02:06;52.58;22.9;20.0;43.4
2015-06-01;02:12;52.41;22.9;20.0;43.4
2015-06-01;02:18;52.58;22.74;20.0;43.56
2015-06-01;02:24;52.495;22.74;20.0;43.56
2015-06-01;02:30;52.32;22.74;20.0;43.72
2015-06-01;02:36;52.58;22.74;20.0;44.03
2015-06-01;02:42;52.58;22.74;20.0;44.03
2015-06-01;02:48;52.665;22.74;20.0;43.88
2015-06-01;03:00;52.405;22.74;20.0;43.88
2015-06-01;03:06;52.84;22.74;20.0;43.72
2015-06-01;03:12;52.75;22.74;20.0;43.72
2015-06-01;03:18;52.58;22.74;20.0;43.88
2015-06-01;03:24;52.75;23.865;20.0;43.88
2015-06-01;03:30;53.1;22.74;20.0;44.19
2015-06-01;03:36;52.58;22.74;20.0;44.03
2015-06-01;03:48;53.62;23.22;20.0;44.35
2015-06-01;03:54;53.1;22.575;19.67;44.19
2015-06-01;04:00;52.755;22.9;20.0;44.19
2015-06-01;04:06;52.665;22.9;20.0;44.19
2015-06-01;04:12;53.36;22.9;19.67;44.35
2015-06-01;04:18;53.015;22.9;19.67;44.19
2015-06-01;04:24;53.1;22.9;19.67;44.19
2015-06-01;04:48;53.36;22.575;19.67;44.19
2015-06-01;04:54;53.275;22.575;19.67;44.19
2015-06-01;05:00;53.445;22.575;20.0;44.82
2015-06-01;05:06;53.19;22.74;20.0;44.82
2015-06-01;05:12;53.71;22.575;20.0;44.82
2015-06-01;05:18;53.62;23.22;20.0;44.82
2015-06-01;05:24;53.45;22.575;20.0;44.98
2015-06-01;05:30;53.965;22.415;19.67;44.98
2015-06-01;05:36;53.535;22.415;19.67;44.98
2015-06-01;05:42;53.445;24.19;20.0;44.82
2015-06-01;05:48;53.535;22.415;19.67;44.98
2015-06-01;05:54;54.055;22.415;20.0;44.51
2015-06-01;06:06;;;20.0;44.82
2015-06-01;06:12;53.71;22.415;20.0;44.66
2015-06-01;06:18;53.88;22.415;20.0;44.66
2015-06-01;06:24;53.88;22.415;20.0;44.82
2015-06-01;06:36;54.83;22.58;20.0;44.98
2015-06-01;06:42;53.88;22.575;20.0;44.98
2015-06-01;06:48;54.05;22.575;20.0;45.14
2015-06-01;06:54;54.14;22.575;20.0;45.3
2015-06-01;07:00;54.14;22.575;20.0;45.45
2015-06-01;07:06;53.795;22.575;20.0;45.3
2015-06-01;07:12;53.965;22.575;20.0;45.61
2015-06-01;07:30;54.055;22.575;20.0;45.14
2015-06-01;07:36;53.965;22.575;20.0;45.14
2015-06-01;07:42;54.23;22.74;20.0;44.98
2015-06-01;07:48;53.965;22.74;20.0;45.3
2015-06-01;07:54;54.14;22.9;20.0;45.3
2015-06-01;08:00;53.795;22.9;;
2015-06-01;08:06;53.445;23.06;20.32;45.3
2015-06-01;08:12;53.275;22.9;20.32;45.61
2015-06-01;08:18;53.015;23.22;20.32;45.45
2015-06-01;08:24;53.185;23.22;20.32;45.14
2015-06-01;08:30;53.015;23.22;20.32;44.98
2015-06-01;08:36;53.1;23.38;20.64;44.51
2015-06-01;08:42;53.275;23.22;20.64;44.51
2015-06-01;08:48;53.36;23.38;20.64;44.03
2015-06-01;08:54;53.275;23.38;20.64;44.66
2015-06-01;09:00;53.1;23.545;20.64;44.51
2015-06-01;09:06;53.275;23.545;20.64;44.03
2015-06-01;09:12;53.79;23.87;20.64;44.51
2015-06-01;09:18;52.23;23.87;20.64;44.51
2015-06-01;09:30;53.185;23.87;20.96;44.19
2015-06-01;09:36;53.01;23.545;20.96;44.35
2015-06-01;09:42;53.19;23.545;20.96;44.03
2015-06-01;09:48;53.1;24.03;20.96;44.35
2015-06-01;09:54;53.185;23.865;20.96;43.88
2015-06-01;10:00;53.185;23.865;20.96;44.03
2015-06-01;10:06;53.015;23.865;20.96;43.72
2015-06-01;10:24;52.93;24.025;21.29;43.72
2015-06-01;10:30;52.665;24.025;21.29;43.4
2015-06-01;10:36;52.75;24.025;21.29;43.56
2015-06-01;10:42;52.58;24.19;21.29;43.4
2015-06-01;10:48;52.58;24.19;;
2015-06-01;11:00;52.23;24.67;21.61;42.77
2015-06-01;11:06;52.235;24.35;21.61;42.61
2015-06-01;11:12;52.06;24.35;21.61;42.61
2015-06-01;11:18;52.15;24.51;21.61;42.93
2015-06-01;11:24;52.145;24.51;21.61;42.77
2015-06-01;11:30;51.97;24.51;21.61;42.3
2015-06-01;11:36;51.975;24.51;21.61;42.3
2015-06-01;11:42;51.97;24.995;21.61;42.46
2015-06-01;11:48;52.58;24.19;;
2015-06-01;12:00;51.625;24.675;21.93;42.3
2015-06-01;12:06;51.28;24.675;21.61;42.14
2015-06-01;12:12;51.625;24.51;21.61;42.3
2015-06-01;12:18;51.885;24.675;21.61;42.14
2015-06-01;12:24;51.54;24.675;21.61;42.46
2015-06-01;12:30;51.535;24.835;21.61;41.98
