date;time;umid@1m;temp@1m;temp@3.5m;umid@3.5m
2015-07-01;00:00;11.48;23.865;25.48;41.2
2015-07-01;00:06;11.74;23.865;25.8;40.88
2015-07-01;00:12;11.655;23.865;24.83;41.04
2015-07-01;00:18;-25.8;23.54;;
2015-07-01;00:30;11.655;23.865;25.8;40.88
2015-07-01;00:36;11.655;23.865;25.8;40.88
2015-07-01;00:48;49.11;24.19;26.12;40.88
2015-07-01;00:54;11.395;23.865;25.48;41.04
2015-07-01;01:00;11.74;23.865;26.12;41.2
2015-07-01;01:06;11.48;23.865;25.8;41.2
2015-07-01;01:12;11.655;23.865;25.8;41.2
2015-07-01;01:18;11.57;23.865;25.8;41.2
2015-07-01;01:24;11.48;23.865;26.12;41.04
2015-07-01;01:30;11.48;23.865;25.8;41.2
2015-07-01;01:36;11.655;23.865;26.12;41.2
2015-07-01;01:42;11.395;23.865;25.16;41.35
2015-07-01;01:48;11.395;23.865;25.16;41.35
2015-07-01;01:54;11.655;24.19;24.51;41.51
2015-07-01;02:06;;;25.48;41.51
2015-07-01;02:12;11.655;23.865;25.8;41.2
2015-07-01;02:18;11.655;23.865;25.48;41.67
2015-07-01;02:24;11.74;23.865;25.8;41.67
2015-07-01;02:30;11.655;23.705;25.8;41.51
2015-07-01;02:36;11.915;24.19;25.8;41.35
2015-07-01;02:42;11.83;23.705;25.8;41.67
2015-07-01;02:48;12.0;23.705;25.8;41.67
2015-07-01;02:54;11.83;23.705;25.8;41.67
2015-07-01;03:00;11.74;23.705;25.8;41.83
2015-07-01;03:06;12.09;23.705;25.8;41.83
2015-07-01;03:12;12.0;25.805;25.16;41.98
2015-07-01;03:30;12.09;23.545;25.48;42.3
2015-07-01;03:36;-25.8;23.22;25.48;42.46
2015-07-01;03:48;12.09;23.545;;
2015-07-01;03:54;12.09;23.705;25.8;42.61
2015-07-01;04:00;12.175;23.545;25.48;42.46
2015-07-01;04:06;-25.8;23.22;25.8;42.14
2015-07-01;04:18;12.175;23.545;;
2015-07-01;04:24;12.175;23.545;25.8;42.3
2015-07-01;04:48;12.175;23.545;;
2015-07-01;04:54;12.26;23.545;25.8;42.3
2015-07-01;05:00;12.175;23.705;25.48;42.46
2015-07-01;05:06;12.09;23.705;25.8;42.93
2015-07-01;05:12;12.0;24.03;25.48;42.93
2015-07-01;05:18;12.0;23.545;25.8;42.93
2015-07-01;05:24;12.175;23.545;25.8;42.77
2015-07-01;05:30;12.09;23.545;25.48;42.77
2015-07-01;05:36;;;25.48;42.93
2015-07-01;05:48;12.09;23.705;25.48;43.09
2015-07-01;05:54;12.09;23.545;25.48;42.61
2015-07-01;06:00;12.175;23.385;25.8;42.61
2015-07-01;06:06;12.35;23.545;25.48;42.61
2015-07-01;06:12;12.09;23.545;25.8;42.3
2015-07-01;06:18;12.175;23.545;25.8;43.09
2015-07-01;06:24;12.435;23.385;25.8;42.61
2015-07-01;06:30;12.26;23.545;26.12;42.77
2015-07-01;06:36;12.26;23.385;25.48;43.09
2015-07-01;06:42;12.35;23.545;25.48;43.09
2015-07-01;06:48;12.435;23.545;25.8;43.09
2015-07-01;06:54;12.61;23.545;25.48;42.93
2015-07-01;07:06;-25.8;23.22;;
2015-07-01;07:12;12.435;23.545;25.48;44.03
2015-07-01;07:18;12.61;23.705;25.48;43.56
2015-07-01;07:24;12.695;23.865;25.48;43.25
2015-07-01;07:30;12.695;23.865;25.8;43.4
2015-07-01;07:36;12.87;24.03;25.8;43.09
2015-07-01;07:42;12.61;24.03;25.8;43.09
2015-07-01;07:48;51.37;24.19;;
