date;time;umid@1m;temp@1m;temp@3.5m;umid@3.5m
2015-05-01;00:00;10.01;19.995;18.38;37.25
2015-05-01;00:06;9.835;19.835;;
2015-05-01;00:12;10.01;19.835;18.38;37.41
2015-05-01;00:18;9.835;19.835;18.38;37.41
2015-05-01;00:24;9.92;19.835;18.38;37.57
2015-05-01;00:30;9.92;20.0;18.38;37.25
2015-05-01;00:36;9.92;19.835;18.38;37.1
2015-05-01;00:42;9.66;19.835;18.38;36.94
2015-05-01;00:48;9.75;20.0;18.38;36.94
2015-05-01;00:54;9.835;19.835;18.38;36.94
2015-05-01;01:00;9.92;19.675;18.38;37.1
2015-05-01;01:06;9.66;19.835;18.38;37.1
2015-05-01;01:12;9.75;19.675;18.06;37.25
2015-05-01;01:18;-25.8;19.35;18.38;36.78
2015-05-01;01:24;9.575;20.0;18.38;37.1
2015-05-01;01:30;9.835;20.0;18.38;36.62
2015-05-01;01:36;9.66;19.675;18.38;36.78
2015-05-01;01:42;9.75;19.675;18.38;36.94
2015-05-01;01:48;9.66;19.675;18.38;37.1
2015-05-01;01:54;9.485;19.675;18.38;37.1
2015-05-01;02:00;9.75;19.675;18.38;37.1
2015-05-01;02:06;9.66;19.675;18.38;36.62
2015-05-01;02:12;9.575;19.51;18.38;36.78
2015-05-01;02:18;9.575;19.51;18.38;36.78
2015-05-01;02:24;9.66;19.51;18.38;36.78
2015-05-01;02:30;9.485;19.51;18.06;37.1
2015-05-01;02:36;9.485;19.51;18.38;37.1
2015-05-01;02:42;9.485;19.51;18.38;36.94
2015-05-01;02:48;9.485;19.51;18.38;36.94
2015-05-01;02:54;9.575;19.51;18.06;37.1
2015-05-01;03:00;9.66;19.51;18.06;36.94
2015-05-01;03:06;9.75;19.835;18.06;36.78
2015-05-01;03:12;9.575;19.67;18.06;36.94
2015-05-01;03:18;9.485;19.51;18.38;36.78
2015-05-01;03:24;9.66;19.51;18.06;36.78
2015-05-01;03:30;9.66;19.51;18.06;36.94
2015-05-01;03:36;9.835;19.51;18.06;36.78
2015-05-01;03:42;9.75;19.51;18.06;37.25
2015-05-01;03:48;9.575;19.51;18.06;37.25
2015-05-01;03:54;9.485;19.51;18.06;36.94
2015-05-01;04:00;9.485;19.35;18.06;36.94
2015-05-01;04:06;9.575;19.835;18.06;37.41
2015-05-01;04:12;9.485;19.51;18.06;37.25
2015-05-01;04:18;9.485;19.35;18.06;37.25
2015-05-01;04:24;9.575;19.51;18.06;37.41
2015-05-01;04:30;9.485;19.51;18.06;37.41
2015-05-01;04:36;9.75;19.35;18.06;37.41
2015-05-01;04:42;9.835;19.35;18.06;37.25
2015-05-01;04:48;9.575;19.35;18.06;37.1
2015-05-01;04:54;9.75;19.35;18.06;37.25
2015-05-01;05:00;9.75;19.35;18.06;37.25
2015-05-01;05:06;9.575;19.51;18.06;37.1
