date;time;umid@1m;temp@1m;temp@3.5m;umid@3.5m
2015-09-01;00:00;16.77;25.48;20.64;49.87
2015-09-01;00:06;16.51;25.155;20.64;49.55
2015-09-01;00:12;16.25;25.155;20.64;49.08
2015-09-01;00:18;15.645;25.32;20.64;48.29
2015-09-01;00:24;15.645;25.155;20.64;47.82
2015-09-01;00:30;15.21;25.32;20.64;47.34
2015-09-01;00:36;14.95;25.32;20.96;46.87
2015-09-01;00:42;14.69;25.32;20.96;46.4
2015-09-01;00:48;14.43;25.48;20.0;46.08
2015-09-01;00:54;14.085;25.48;20.96;45.3
2015-09-01;01:00;13.995;25.32;20.96;44.66
2015-09-01;01:06;13.65;25.32;20.96;44.35
2015-09-01;01:12;13.39;25.32;20.96;43.56
2015-09-01;01:18;13.475;25.32;20.96;43.56
2015-09-01;01:24;13.045;25.32;20.96;43.4
2015-09-01;01:30;12.87;25.48;20.96;43.25
2015-09-01;01:36;12.87;25.32;20.96;43.09
2015-09-01;01:42;12.785;25.32;20.96;42.77
2015-09-01;01:48;12.695;25.32;20.96;42.14
2015-09-01;01:54;12.52;25.32;20.96;42.3
2015-09-01;02:00;12.175;25.32;20.96;42.14
2015-09-01;02:06;12.26;25.32;20.96;41.98
2015-09-01;02:12;12.0;25.32;20.96;41.51
2015-09-01;02:18;12.09;25.48;20.96;41.2
2015-09-01;02:24;11.915;25.48;20.96;40.88
2015-09-01;02:30;11.915;25.48;20.96;40.88
2015-09-01;02:36;11.83;25.48;20.96;40.88
2015-09-01;02:42;11.655;25.32;20.96;40.41
2015-09-01;02:48;11.655;25.32;20.96;40.57
2015-09-01;02:54;11.915;25.32;20.96;40.72
2015-09-01;03:00;11.74;25.32;20.96;40.57
2015-09-01;03:06;11.655;25.64;20.96;40.72
2015-09-01;03:12;11.655;25.48;20.96;40.57
2015-09-01;03:18;49.11;25.8;20.96;40.57
2015-09-01;03:24;11.655;25.32;20.96;40.57
2015-09-01;03:30;11.655;25.48;20.96;40.57
2015-09-01;03:36;11.57;25.48;20.96;40.57
2015-09-01;03:42;11.57;25.48;20.96;40.41
2015-09-01;03:48;11.48;25.48;20.96;40.41
2015-09-01;03:54;11.74;25.48;20.96;40.57
2015-09-01;04:00;11.48;25.32;20.96;40.41
