date;time;temp@1m;umid@1m;umid@3.5m;temp@3.5m;tempPout@Sx;tempPout@Dx;tempPin@Sx;tempPin@Dx
2015-08-01;00:06;24.19;51.54;;;;;;
2015-08-01;00:12;24.19;51.02;56.65;20.64;23.25;23.58;24.92;24.86
2015-08-01;00:18;23.87;51.19;56.96;20.32;23.21;23.55;24.92;24.86
2015-08-01;00:24;23.87;51.19;57.28;20.32;23.25;23.52;24.92;24.86
2015-08-01;00:30;24.19;51.02;57.12;20.64;23.15;23.47;24.92;24.87
2015-08-01;00:36;24.19;51.19;57.12;20.96;23.12;23.44;24.92;24.87
2015-08-01;00:42;24.19;51.19;57.12;20.96;23.08;23.41;24.93;24.87
2015-08-01;00:48;24.19;50.67;57.12;20.0;23.05;23.36;24.92;24.87
2015-08-01;00:54;24.19;50.5;56.8;20.96;22.99;23.32;24.93;24.88
2015-08-01;01:00;24.19;50.67;56.49;21.93;22.98;23.34;24.93;24.88
2015-08-01;01:06;24.19;50.84;56.8;22.25;22.99;23.31;24.93;24.87
2015-08-01;01:12;24.19;50.32;56.65;20.64;23.0;23.27;24.93;24.88
2015-08-01;01:18;24.19;50.32;56.33;20.32;22.86;23.13;24.93;24.88
2015-08-01;01:24;24.19;50.67;56.49;20.96;22.61;22.93;24.93;24.88
2015-08-01;01:30;24.19;50.5;56.65;20.64;22.38;22.79;24.93;24.87
2015-08-01;01:36;24.19;50.5;56.33;20.32;22.27;22.65;24.93;24.87
2015-08-01;01:42;24.19;50.15;56.33;20.32;22.13;22.5;24.92;24.87
2015-08-01;01:48;;;;;;;24.92;
2015-08-01;02:00;24.19;50.32;55.86;20.96;22.12;22.5;24.92;24.86
2015-08-01;02:06;24.19;49.8;55.54;21.29;22.17;22.53;24.91;24.86
2015-08-01;02:12;24.19;50.15;55.7;21.93;22.15;22.45;24.91;24.85
2015-08-01;02:18;24.19;49.8;55.7;21.61;21.93;22.27;24.9;24.85
2015-08-01;02:24;24.19;50.15;55.54;21.29;21.71;22.1;24.9;24.85
2015-08-01;02:30;24.19;49.98;55.7;21.29;21.57;22.0;24.9;24.85
2015-08-01;02:36;24.19;49.8;55.54;21.93;21.41;21.84;24.89;24.84
2015-08-01;02:42;24.19;49.8;55.54;22.25;21.32;21.73;24.89;24.83
2015-08-01;02:48;24.19;49.63;55.23;22.25;21.19;21.66;24.88;24.83
2015-08-01;02:54;24.19;49.8;55.54;20.96;21.17;21.65;24.87;24.82
2015-08-01;03:06;24.19;49.28;55.23;21.61;;;;
2015-08-01;03:12;24.19;49.46;55.54;21.29;21.28;21.7;24.85;24.79
2015-08-01;03:18;;;;;;21.69;;
2015-08-01;03:48;24.19;49.11;55.07;22.9;21.31;;24.79;24.74
2015-08-01;03:54;24.19;49.28;55.07;21.29;21.34;21.72;24.78;24.73
2015-08-01;04:00;24.19;48.94;;;21.33;21.74;24.76;24.72
2015-08-01;04:06;24.19;49.11;55.07;21.61;21.36;21.74;24.76;24.72
2015-08-01;04:12;24.19;49.46;55.23;20.96;21.35;21.71;24.75;24.71
2015-08-01;04:18;24.19;49.11;54.91;20.64;21.43;21.75;24.75;24.71
2015-08-01;04:24;24.19;48.94;55.39;21.93;21.55;21.82;24.75;24.7
2015-08-01;04:30;24.19;49.11;55.07;20.96;21.58;21.88;24.74;24.7
2015-08-01;04:36;24.19;48.94;55.23;22.25;21.68;21.94;24.74;24.7
2015-08-01;04:42;24.19;49.46;55.07;20.32;21.74;22.03;24.74;24.7
2015-08-01;04:48;24.19;49.28;54.91;20.96;21.76;22.07;24.74;24.7
2015-08-01;04:54;24.19;48.94;55.07;23.22;21.72;22.07;24.74;24.7
2015-08-01;05:00;24.19;49.11;55.07;20.96;21.75;22.07;24.74;24.7
2015-08-01;05:06;24.19;48.94;55.07;22.25;21.67;22.07;24.74;24.7
2015-08-01;05:12;24.19;49.28;55.39;20.96;21.57;21.99;24.74;24.69
2015-08-01;05:18;;;55.23;21.61;;21.92;;
2015-08-01;06:00;24.19;48.76;55.54;21.93;20.69;21.18;24.71;24.67
2015-08-01;06:06;24.19;49.28;55.39;21.29;20.58;21.11;24.7;24.67
2015-08-01;06:12;24.19;49.11;55.86;20.96;20.52;21.02;24.69;24.66
2015-08-01;06:18;24.19;49.11;55.39;21.61;20.39;20.97;24.69;24.65
2015-08-01;06:24;24.19;49.28;55.39;20.96;20.3;20.88;24.67;24.64
2015-08-01;06:30;24.19;48.76;54.91;22.25;20.24;20.8;24.65;24.64
2015-08-01;06:36;24.19;49.11;55.39;21.61;20.38;20.81;24.64;24.63
2015-08-01;06:42;24.19;48.76;55.23;21.61;20.58;20.96;24.63;24.61
2015-08-01;06:48;24.19;49.11;55.07;21.61;20.67;21.06;24.62;24.6
2015-08-01;06:54;24.19;49.28;55.23;22.58;20.66;21.07;24.61;24.58
2015-08-01;07:00;24.19;49.28;55.39;20.96;20.63;21.08;24.6;24.57
2015-08-01;07:06;24.19;49.11;55.7;23.22;;21.09;;24.56
2015-08-01;07:18;;;55.23;21.29;20.57;21.02;24.57;
2015-08-01;07:24;24.19;49.28;55.54;21.93;20.67;21.06;24.57;24.54
2015-08-01;07:36;;;;;20.46;;24.54;
2015-08-01;07:42;23.87;49.8;57.28;20.64;;20.91;24.5;24.49
2015-08-01;07:48;23.87;50.15;57.44;20.0;20.34;20.84;24.45;24.44
2015-08-01;07:54;23.54;50.15;57.75;20.32;20.28;20.81;24.39;24.38
2015-08-01;08:00;23.54;50.32;57.75;20.32;20.22;20.88;24.33;24.32
2015-08-01;08:06;23.22;50.84;57.91;19.67;20.51;;;24.25
2015-08-01;08:18;;;57.91;19.35;;21.56;24.14;24.11
2015-08-01;08:24;22.9;51.89;57.59;20.32;21.33;21.54;24.07;24.06
2015-08-01;08:30;22.9;52.23;57.75;20.32;21.36;21.66;24.01;24.0
2015-08-01;08:36;22.58;51.89;57.75;19.67;21.57;22.36;23.94;23.94
2015-08-01;08:42;22.58;52.41;57.59;19.67;22.98;23.33;;23.89
2015-08-01;08:48;22.9;52.06;56.8;20.64;23.66;23.64;23.9;23.87
2015-08-01;08:54;23.22;51.02;56.65;20.64;24.0;23.8;23.91;23.89
2015-08-01;09:30;22.9;49.11;55.54;21.61;22.12;22.57;23.8;23.83
2015-08-01;09:36;23.22;49.11;55.54;20.64;22.24;;23.84;23.85
2015-08-01;10:06;;;55.23;20.32;;22.8;;
2015-08-01;10:12;23.22;49.11;55.54;20.32;23.08;23.79;23.88;23.91
2015-08-01;10:18;23.54;49.28;55.23;20.0;24.36;;23.93;23.95
2015-08-01;10:24;22.9;48.76;55.54;20.0;24.96;24.61;23.96;23.94
