date;time;temp@1m;umid@1m;umid@3.5m;temp@3.5m;tempPout@Sx;tempPout@Dx;tempPin@Sx;tempPin@Dx
2015-07-01;00:00;19.995;50.935;58.54;17.41;23.86;24.13;22.18;22.14
2015-07-01;00:06;19.995;51.54;59.33;17.41;23.91;24.13;22.13;22.09
2015-07-01;00:12;19.995;51.54;59.01;17.41;23.75;24.02;22.09;22.05
2015-07-01;00:18;19.67;53.97;;;;;22.04;22.01
2015-07-01;00:30;19.675;50.93;59.17;17.74;23.73;23.97;21.95;21.91
2015-07-01;00:36;19.67;53.45;;;23.64;;21.9;21.86
2015-07-01;00:48;;;58.7;18.7;23.63;23.86;21.83;21.8
2015-07-01;00:54;19.675;51.715;59.48;17.41;23.63;23.85;21.8;21.76
2015-07-01;01:00;19.675;51.54;59.48;17.74;23.61;23.83;21.75;21.72
2015-07-01;01:06;19.675;51.365;59.8;18.06;23.56;23.79;21.71;21.67
2015-07-01;01:12;19.675;51.625;60.12;18.06;23.61;23.84;21.68;21.64
2015-07-01;01:18;19.835;52.06;60.43;18.06;23.69;23.86;21.65;21.61
2015-07-01;01:24;19.675;51.97;60.59;18.38;23.71;23.86;21.62;21.58
2015-07-01;01:30;19.675;51.535;60.12;17.41;23.74;23.88;21.59;21.54
2015-07-01;01:36;19.515;51.19;60.27;19.35;23.78;23.91;21.55;21.5
2015-07-01;01:42;19.675;52.06;60.59;18.06;23.67;23.82;21.53;21.47
2015-07-01;01:48;19.675;52.145;;;23.58;23.75;21.51;21.45
2015-07-01;01:54;19.675;52.49;61.06;18.7;23.52;23.71;21.49;21.44
2015-07-01;02:06;;;;;;23.58;;
2015-07-01;02:12;19.51;52.23;61.06;17.41;23.27;23.5;21.4;21.34
2015-07-01;02:18;19.675;52.405;60.9;18.38;23.24;23.46;21.38;21.32
2015-07-01;02:24;19.51;52.665;61.53;17.41;23.19;23.41;21.36;21.31
2015-07-01;02:30;19.51;52.665;61.38;17.74;23.14;;21.35;21.28
2015-07-01;02:36;19.35;52.49;61.22;18.06;23.07;23.37;21.32;21.25
2015-07-01;02:42;19.35;52.23;61.06;17.74;23.04;23.33;21.29;21.22
2015-07-01;02:48;19.675;52.495;61.06;17.41;23.01;23.28;21.26;21.2
2015-07-01;02:54;19.835;53.185;62.32;17.41;22.97;23.23;21.25;21.18
2015-07-01;03:00;19.35;53.1;62.48;17.41;22.96;23.2;21.25;21.17
2015-07-01;03:06;19.35;52.84;62.01;17.74;22.87;23.16;21.22;21.14
