date;time;temp@1m;umid@1m;umid@3.5m;temp@3.5m;tempPout@Sx;tempPout@Dx;tempPin@Sx;tempPin@Dx
2015-05-01;00:00;19.675;44.08;51.44;20.32;15.33;15.68;20.19;19.91
2015-05-01;00:06;19.675;44.17;51.6;20.32;15.31;15.69;20.14;19.88
2015-05-01;00:12;19.675;44.165;51.6;20.32;15.11;15.57;20.11;19.84
2015-05-01;00:18;19.675;44.085;51.92;20.32;15.0;15.45;20.08;19.82
2015-05-01;00:24;19.675;43.91;51.76;20.32;14.86;15.33;20.04;19.78
2015-05-01;00:30;19.51;44.08;51.76;20.32;14.78;15.24;20.01;19.75
2015-05-01;00:36;19.515;44.17;51.92;20.32;14.62;15.11;19.97;19.72
2015-05-01;00:42;19.51;43.91;51.76;20.32;14.52;14.99;19.94;19.69
2015-05-01;00:48;19.67;43.91;51.44;20.32;14.62;14.97;19.9;19.66
2015-05-01;00:54;19.67;43.91;;;14.57;14.97;19.87;19.63
2015-05-01;01:00;19.35;43.995;51.76;20.32;14.56;14.92;19.84;19.6
2015-05-01;01:06;19.35;43.905;51.6;20.32;14.53;14.9;19.81;19.57
2015-05-01;01:12;19.35;44.08;51.6;20.32;14.24;14.77;19.77;19.54
2015-05-01;01:18;19.35;43.995;51.76;20.32;14.28;14.62;19.75;19.51
2015-05-01;01:24;19.35;44.08;51.76;20.32;14.43;14.78;19.71;19.49
2015-05-01;01:30;19.35;43.91;51.92;20.0;14.4;14.81;19.68;19.46
2015-05-01;01:36;19.51;43.56;51.6;20.0;14.32;14.76;19.65;19.43
2015-05-01;01:42;19.35;43.91;51.76;20.0;14.28;14.67;19.61;19.41
2015-05-01;01:48;20.475;44.08;51.6;20.0;14.32;14.68;19.59;19.38
2015-05-01;01:54;19.35;43.995;51.6;20.0;14.28;14.66;19.55;
2015-05-01;02:00;19.19;43.905;51.76;20.0;14.18;14.59;19.53;19.35
2015-05-01;02:06;18.38;46.86;51.6;20.0;14.08;14.54;19.5;19.33
2015-05-01;02:12;19.67;43.825;51.6;20.0;13.95;14.42;19.47;19.3
2015-05-01;02:18;19.19;43.82;51.76;20.0;13.92;14.35;19.44;19.28
2015-05-01;02:24;19.35;43.91;51.29;20.0;14.1;14.44;19.42;19.25
2015-05-01;02:30;19.35;43.82;51.13;20.0;14.29;14.62;19.38;19.22
2015-05-01;02:36;19.35;43.645;51.76;20.0;14.48;14.81;19.36;19.2
2015-05-01;02:42;19.19;43.995;51.29;20.0;14.35;14.84;19.33;19.18
2015-05-01;02:48;19.67;43.735;51.13;20.0;14.13;14.66;19.31;19.15
2015-05-01;02:54;19.025;43.735;50.97;20.0;14.05;14.54;19.28;19.13
2015-05-01;03:00;19.19;43.735;51.13;20.0;13.93;14.44;19.27;19.12
2015-05-01;03:06;19.025;43.65;51.29;20.0;13.97;14.42;19.24;19.1
2015-05-01;03:12;19.19;43.475;51.44;20.0;14.02;14.48;19.22;19.07
2015-05-01;03:18;19.19;43.735;51.76;19.67;14.25;14.61;19.2;19.05
2015-05-01;03:24;19.67;40.96;51.29;20.0;14.34;14.71;19.18;19.03
2015-05-01;03:30;19.185;43.995;51.13;20.0;14.46;14.83;19.16;19.02
2015-05-01;03:36;19.19;43.735;51.44;20.0;14.59;14.92;19.15;19.0
2015-05-01;03:42;19.025;44.17;51.44;20.0;14.64;14.98;19.13;18.98
2015-05-01;03:48;19.025;43.565;51.6;20.0;14.69;15.02;19.11;18.97
2015-05-01;03:54;19.025;43.735;51.29;20.0;14.67;15.02;19.1;18.95
2015-05-01;04:00;18.865;43.905;51.6;20.0;14.67;15.02;19.09;18.94
2015-05-01;04:06;19.025;43.735;51.13;20.0;14.6;15.01;19.07;18.92
2015-05-01;04:12;19.35;43.91;51.29;20.0;14.57;14.98;19.06;18.91
2015-05-01;04:18;21.445;43.91;51.44;19.67;14.69;15.01;19.05;18.9
2015-05-01;04:24;19.025;43.65;51.13;20.0;;15.0;19.03;18.89
2015-05-01;04:30;19.025;43.735;51.29;19.67;14.64;14.95;19.02;18.88
2015-05-01;04:36;19.025;43.82;51.29;20.0;14.53;14.93;19.01;18.87
2015-05-01;04:42;19.19;43.82;51.44;19.67;14.58;14.96;19.0;18.86
2015-05-01;04:48;19.025;43.905;51.29;20.0;14.6;14.96;18.99;18.85
2015-05-01;04:54;19.025;43.825;51.76;19.67;14.58;14.94;18.97;18.84
2015-05-01;05:00;18.38;46.51;51.44;20.0;14.59;14.97;18.96;18.83
2015-05-01;05:06;19.025;44.085;51.6;19.67;14.65;14.98;18.95;18.82
2015-05-01;05:12;19.025;43.82;51.6;19.67;14.61;14.96;18.94;18.81
2015-05-01;05:18;19.025;43.91;51.6;19.67;14.59;14.94;18.93;18.8
2015-05-01;05:24;19.025;43.995;51.6;19.67;14.59;14.96;18.92;18.79
2015-05-01;05:30;19.19;43.995;51.6;19.67;14.63;14.98;18.91;18.78
2015-05-01;05:36;19.025;43.91;51.76;20.0;14.59;14.94;18.9;18.78
2015-05-01;05:42;19.025;44.255;51.92;19.67;14.51;14.91;18.89;18.77
2015-05-01;05:48;19.025;44.17;51.92;19.67;14.49;14.93;18.89;18.76
2015-05-01;05:54;19.025;44.08;51.92;19.67;14.53;14.99;18.88;18.75
2015-05-01;06:00;19.025;43.905;51.92;19.67;14.62;14.97;18.88;18.75
2015-05-01;06:06;19.51;43.91;51.76;19.67;14.54;14.94;18.87;18.74
2015-05-01;06:12;19.025;44.17;51.92;19.67;14.49;14.93;18.86;18.74
2015-05-01;06:18;19.025;44.255;52.23;19.67;14.48;14.95;18.86;18.73
2015-05-01;06:24;19.025;44.255;52.39;19.67;14.51;14.95;18.85;18.72
2015-05-01;06:30;19.025;44.255;52.07;19.67;14.49;;18.84;18.72
2015-05-01;06:36;19.19;43.995;51.92;19.67;14.57;14.97;18.84;18.71
2015-05-01;06:42;19.025;44.34;51.92;19.67;14.69;15.02;18.84;18.7
2015-05-01;06:48;19.35;44.34;51.92;19.67;14.75;15.09;18.83;18.7
2015-05-01;06:54;19.19;44.34;52.07;19.67;14.74;15.11;18.83;18.69
2015-05-01;07:00;19.025;44.085;52.07;19.67;14.77;15.13;18.82;18.69
2015-05-01;07:06;19.19;44.17;52.07;19.67;14.81;15.18;18.81;18.68
2015-05-01;07:12;19.025;44.255;52.23;19.67;14.88;15.2;18.81;18.68
2015-05-01;07:18;19.025;44.165;52.07;19.67;14.86;15.2;18.8;18.68
2015-05-01;07:24;19.51;43.91;52.23;19.67;14.86;15.21;18.79;18.67
2015-05-01;07:30;19.025;43.995;52.55;19.67;14.9;15.25;18.79;18.67
2015-05-01;07:36;19.025;44.165;52.39;19.67;14.95;15.28;18.79;18.67
2015-05-01;07:42;19.19;44.34;52.23;19.67;14.93;15.26;18.79;18.66
2015-05-01;07:48;18.38;47.2;52.39;19.67;14.85;15.22;18.79;18.67
2015-05-01;07:54;19.025;44.345;52.23;19.67;14.81;15.19;18.78;18.67
2015-05-01;08:00;19.025;44.255;52.39;19.67;14.89;15.23;18.78;18.66
2015-05-01;08:06;19.025;44.43;52.39;19.67;15.04;15.37;18.78;18.67
2015-05-01;08:12;19.025;44.255;52.55;19.67;15.11;15.41;18.78;18.67
2015-05-01;08:18;19.185;44.255;52.23;19.67;15.31;15.56;18.78;18.67
2015-05-01;08:24;19.185;44.515;52.23;19.67;15.46;15.71;18.78;18.68
