date;time;temp@1m;umid@1m;umid@3.5m;temp@3.5m;tempPout@Sx;tempPout@Dx;tempPin@Sx;tempPin@Dx
2015-09-01;00:00;24.83;52.41;56.33;32.25;24.85;25.15;25.55;25.45
2015-09-01;00:06;24.83;52.58;56.65;32.25;24.89;25.14;25.56;25.46
2015-09-01;00:12;24.83;52.58;56.8;31.61;24.87;25.15;25.57;25.48
2015-09-01;00:18;24.83;52.23;56.8;32.25;24.8;25.13;25.59;25.49
2015-09-01;00:24;24.83;51.89;56.33;31.61;24.81;25.07;25.6;25.51
2015-09-01;00:30;24.83;51.89;56.02;32.58;24.71;25.1;25.61;25.53
2015-09-01;00:36;25.16;51.54;56.17;31.93;24.57;24.99;25.62;25.54
2015-09-01;00:42;25.16;51.54;55.86;32.58;24.58;24.92;25.63;25.56
2015-09-01;00:48;25.16;51.02;55.54;32.58;;24.97;25.64;25.57
2015-09-01;00:54;25.16;51.02;55.86;32.25;24.63;24.97;25.66;25.59
2015-09-01;01:00;25.16;50.67;55.23;32.25;24.6;24.83;25.67;25.6
2015-09-01;01:06;25.16;50.5;55.23;32.58;24.47;24.86;25.67;25.62
2015-09-01;01:12;25.16;50.15;55.07;32.25;24.48;24.78;25.68;25.64
2015-09-01;01:18;25.16;49.98;54.91;32.58;24.43;24.87;25.69;25.65
2015-09-01;01:24;25.16;49.98;54.44;32.58;24.59;24.86;25.7;25.66
2015-09-01;01:30;25.16;49.98;54.28;32.9;24.6;24.8;25.71;25.68
2015-09-01;01:36;25.16;49.8;54.12;32.25;24.45;24.7;25.72;25.68
2015-09-01;01:42;25.16;49.63;53.81;32.25;24.21;24.53;25.73;25.7
2015-09-01;01:48;25.16;49.28;54.28;32.25;23.97;24.4;;25.71
2015-09-01;01:54;25.16;49.28;53.81;32.9;23.91;24.32;25.73;25.71
2015-09-01;02:00;25.16;49.28;53.49;32.58;23.79;24.23;25.74;25.72
2015-09-01;02:06;25.16;49.11;53.34;32.58;23.76;24.23;25.75;25.73
2015-09-01;02:12;25.48;49.11;53.02;32.58;23.76;24.17;25.75;25.74
2015-09-01;02:18;25.16;48.94;53.49;32.9;23.69;24.09;25.76;25.74
2015-09-01;02:24;25.48;48.76;53.97;32.25;23.53;23.98;25.77;25.75
2015-09-01;02:30;25.48;48.59;53.97;32.9;23.41;23.83;25.78;25.76
2015-09-01;02:36;25.48;48.76;53.65;32.25;23.21;23.7;25.79;25.77
2015-09-01;02:42;25.48;48.59;54.12;32.9;23.14;23.66;25.8;25.77
2015-09-01;02:48;25.16;48.42;53.65;32.25;23.05;23.53;25.8;25.78
2015-09-01;02:54;25.48;48.76;53.65;32.58;22.86;23.42;25.8;25.78
2015-09-01;03:00;25.48;48.76;53.34;32.58;22.76;23.35;25.81;25.79
2015-09-01;03:06;25.48;48.94;53.34;32.25;22.7;23.21;25.81;25.79
2015-09-01;03:12;25.48;48.94;52.86;32.25;22.47;23.06;25.82;25.8
2015-09-01;03:18;25.48;48.94;53.18;32.25;22.28;22.9;25.82;25.8
2015-09-01;03:24;25.48;48.94;53.49;32.58;22.15;22.78;25.82;25.81
2015-09-01;03:30;25.48;48.94;53.02;32.9;21.99;22.69;25.82;25.81
2015-09-01;03:36;25.48;48.42;53.02;32.9;21.94;;25.82;25.81
2015-09-01;03:42;25.48;48.76;53.81;32.58;21.8;22.58;25.82;25.81
2015-09-01;03:48;25.48;48.76;53.18;32.9;21.86;22.5;25.82;25.81
2015-09-01;03:54;25.48;48.42;53.18;33.22;21.98;22.61;25.81;25.81
2015-09-01;04:00;25.48;48.59;53.49;32.58;21.69;22.45;25.81;25.8
2015-09-01;04:06;25.48;48.59;53.02;32.9;21.49;22.29;25.8;25.8
2015-09-01;04:12;25.48;48.42;53.65;32.58;21.37;22.18;25.8;25.79
2015-09-01;04:18;25.48;48.59;53.34;33.54;21.21;22.06;25.79;25.79
2015-09-01;04:24;25.48;48.59;53.02;32.9;21.1;21.93;25.79;25.78
2015-09-01;04:30;25.48;48.42;53.65;32.9;21.0;21.86;25.77;25.77
2015-09-01;04:36;25.48;48.42;53.34;32.58;20.9;21.75;25.77;25.76
2015-09-01;04:42;25.48;48.42;53.81;32.9;20.85;21.68;25.75;25.75
2015-09-01;04:48;25.48;48.94;53.97;33.22;20.8;21.61;25.74;25.74
2015-09-01;04:54;25.48;48.76;53.81;33.87;20.82;21.58;25.73;25.73
2015-09-01;05:00;25.48;48.59;53.97;32.58;20.8;21.53;25.72;25.71
2015-09-01;05:06;24.83;49.11;54.6;32.58;20.72;21.48;25.7;25.69
2015-09-01;05:12;24.19;50.5;55.39;32.25;20.58;21.36;25.66;25.62
2015-09-01;05:18;23.54;51.37;57.44;31.61;20.47;21.27;25.6;25.54
2015-09-01;05:24;23.22;52.06;57.75;31.29;20.38;21.19;25.51;25.45
2015-09-01;05:30;23.54;51.54;57.12;31.29;20.27;21.08;25.43;25.36
2015-09-01;05:36;23.54;51.37;56.33;33.54;20.19;20.99;25.35;25.26
2015-09-01;05:42;23.87;51.02;55.39;32.25;20.21;20.94;25.27;25.21
2015-09-01;05:48;23.54;49.8;55.07;33.54;20.18;20.93;25.22;25.14
2015-09-01;05:54;23.87;49.63;54.44;31.61;20.07;20.85;25.16;25.09
2015-09-01;06:00;23.54;48.59;54.44;32.25;20.07;20.81;25.11;25.02
2015-09-01;06:06;23.87;48.59;;;20.1;20.8;25.05;24.98
2015-09-01;06:12;23.22;48.42;54.44;31.61;20.18;20.81;25.02;24.93
2015-09-01;06:18;23.54;48.07;54.91;31.61;20.41;20.91;24.95;24.87
2015-09-01;06:24;23.87;48.42;53.65;31.29;20.63;21.06;24.92;
2015-09-01;06:30;23.87;48.07;53.34;32.9;20.82;21.2;24.9;24.85
2015-09-01;06:36;23.87;47.9;54.44;31.93;20.88;21.28;24.87;24.82
2015-09-01;06:42;23.87;48.24;53.65;31.61;20.92;21.34;24.84;24.78
2015-09-01;06:48;23.54;47.9;53.18;31.29;21.01;21.39;24.82;24.76
2015-09-01;06:54;23.87;47.9;53.34;31.93;21.08;21.49;24.79;24.72
2015-09-01;07:00;24.19;48.42;53.34;32.58;21.18;21.57;24.78;24.7
2015-09-01;07:06;23.54;47.72;53.49;31.93;21.19;21.62;24.77;24.7
2015-09-01;07:12;23.87;47.9;53.34;31.61;21.12;21.58;24.74;24.67
2015-09-01;07:18;24.19;47.9;53.18;33.22;21.03;21.52;24.73;24.65
2015-09-01;07:24;23.87;47.38;53.18;31.61;21.08;21.54;24.73;24.65
2015-09-01;07:30;23.87;47.9;53.34;31.61;21.19;21.58;24.7;24.64
2015-09-01;07:36;23.87;47.72;53.65;32.9;21.67;21.83;24.69;24.61
2015-09-01;07:42;24.19;48.07;53.34;32.25;22.14;22.16;24.69;24.61
2015-09-01;07:48;23.87;47.55;53.49;32.25;22.61;22.48;24.68;24.61
2015-09-01;07:54;24.19;47.38;53.18;31.93;23.06;22.83;24.66;24.6
2015-09-01;08:00;24.19;47.55;53.18;33.22;23.33;23.1;24.66;24.6
2015-09-01;08:06;23.87;47.9;52.86;32.58;23.61;23.35;24.65;24.6
2015-09-01;08:12;24.19;47.55;53.18;33.22;23.88;23.61;24.64;24.59
2015-09-01;08:18;23.87;47.72;52.86;32.9;24.1;23.82;24.65;24.6
2015-09-01;08:24;23.87;47.55;53.18;32.58;24.24;23.98;24.64;24.61
