date;time;temp@1m;umid@1m;temp@3.5m;umid@3.5m
2015-09-01;00:00;41.13;26.45;26.77;41.2
2015-09-01;00:06;41.13;26.77;27.09;40.88
2015-09-01;00:12;40.79;26.77;27.09;40.88
2015-09-01;00:18;40.61;26.77;27.09;40.88
2015-09-01;00:24;40.61;26.77;27.09;40.72
2015-09-01;00:30;40.79;26.77;27.09;40.57
2015-09-01;00:36;40.27;26.77;27.09;40.25
2015-09-01;00:42;;;27.09;40.41
2015-09-01;00:48;40.09;26.77;27.09;40.41
2015-09-01;00:54;39.75;26.77;27.09;40.25
2015-09-01;01:00;39.57;26.77;27.09;40.25
2015-09-01;01:06;40.09;26.77;27.09;39.93
2015-09-01;01:12;39.92;26.77;27.09;39.62
2015-09-01;01:18;40.27;26.77;27.09;39.62
2015-09-01;01:24;39.92;26.77;27.09;39.62
2015-09-01;01:30;40.09;26.77;27.09;39.62
2015-09-01;01:36;39.22;26.77;27.41;39.62
2015-09-01;01:42;38.88;26.77;27.41;39.62
2015-09-01;01:48;38.7;26.77;27.09;39.62
2015-09-01;01:54;38.53;26.77;27.41;39.46
2015-09-01;02:00;38.88;26.77;27.41;39.3
2015-09-01;02:06;38.7;26.77;27.41;39.15
2015-09-01;02:12;38.88;26.77;27.41;39.15
2015-09-01;02:18;38.7;26.77;27.41;39.15
2015-09-01;02:24;38.01;26.77;27.09;38.99
2015-09-01;02:30;38.01;26.77;27.41;39.15
2015-09-01;02:36;38.01;26.77;27.09;38.83
2015-09-01;02:42;38.01;26.77;27.41;38.83
2015-09-01;02:48;38.7;26.77;27.09;38.83
2015-09-01;02:54;38.53;26.77;27.09;38.67
2015-09-01;03:00;38.01;26.77;27.41;38.83
2015-09-01;03:06;37.84;26.77;27.41;38.83
2015-09-01;03:12;38.36;26.77;27.41;38.83
2015-09-01;03:18;38.01;26.77;27.41;38.99
2015-09-01;03:24;38.36;26.77;27.41;38.83
2015-09-01;03:30;38.01;26.77;27.09;38.83
2015-09-01;03:36;38.18;26.77;27.41;38.67
2015-09-01;03:42;37.84;26.77;27.41;38.99
2015-09-01;03:48;38.01;26.77;27.41;38.67
2015-09-01;03:54;37.84;26.77;27.09;38.83
2015-09-01;04:00;38.18;26.77;27.41;38.67
2015-09-01;04:06;38.18;26.77;;
2015-09-01;04:12;38.18;26.77;27.41;38.83
2015-09-01;04:18;37.84;26.77;27.41;38.83
2015-09-01;04:24;38.01;26.77;27.41;38.67
2015-09-01;04:30;37.66;26.77;27.41;38.52
2015-09-01;04:36;37.66;26.77;27.09;38.67
2015-09-01;04:42;38.18;26.77;27.41;38.83
2015-09-01;04:48;38.01;26.77;27.09;38.67
2015-09-01;04:54;38.18;26.77;27.09;38.83
2015-09-01;05:00;38.01;26.77;27.41;38.83
2015-09-01;05:06;37.49;26.77;26.77;38.67
