date;time;temp@1m;umid@1m;umid@3.5m;temp@3.5m;tempPout@Sx;tempPout@Dx;tempPin@Sx;tempPin@Dx
2015-06-01;00:00;24.03;43.13;60.59;24.83;21.07;20.76;;26.5
2015-06-01;00:06;24.03;43.645;60.59;24.83;21.03;20.76;;26.47
2015-06-01;00:12;24.03;43.385;60.59;24.83;21.04;20.8;;26.45
2015-06-01;00:18;24.03;43.475;60.75;24.83;21.09;20.87;;26.43
2015-06-01;00:24;23.87;43.39;60.75;24.83;21.16;20.96;;26.41
2015-06-01;00:30;24.03;43.65;60.9;24.83;21.25;21.05;;26.39
2015-06-01;00:36;24.03;43.645;60.9;24.83;21.35;21.14;;26.37
2015-06-01;00:42;24.03;43.385;61.06;24.83;21.43;21.17;;26.35
2015-06-01;00:48;24.03;43.735;61.06;24.83;21.46;21.1;;26.33
2015-06-01;00:54;23.87;43.82;61.06;24.83;21.4;21.02;;26.31
2015-06-01;01:00;24.19;45.82;61.06;24.83;21.33;20.97;;26.29
2015-06-01;01:06;24.03;44.08;61.22;24.83;21.27;20.91;;26.27
2015-06-01;01:12;26.125;43.995;61.22;24.83;21.19;20.84;;26.25
2015-06-01;01:18;23.87;43.735;61.06;24.83;21.11;20.74;;26.23
2015-06-01;01:24;23.87;43.995;61.22;24.83;20.99;20.62;;26.21
2015-06-01;01:30;24.03;43.65;61.06;24.83;20.87;20.53;;26.19
2015-06-01;01:36;24.03;43.82;61.22;24.83;20.78;;;26.17
2015-06-01;01:42;24.35;43.91;61.22;24.83;20.76;20.49;;26.15
2015-06-01;01:48;23.705;43.995;61.38;24.83;20.77;20.5;;26.13
2015-06-01;01:54;23.705;43.995;61.22;24.83;20.77;20.52;;26.11
2015-06-01;02:00;24.03;44.08;61.38;24.83;20.75;20.49;;26.09
2015-06-01;02:06;24.35;43.995;61.38;24.83;20.66;20.42;;26.07
2015-06-01;02:12;23.87;44.08;61.38;24.83;20.54;20.33;;26.05
2015-06-01;02:18;23.87;44.255;61.06;24.83;20.43;20.21;;26.03
2015-06-01;02:24;23.87;43.995;61.38;24.83;20.35;20.12;;26.01
2015-06-01;02:30;23.705;44.34;61.22;24.83;20.27;20.04;;25.98
2015-06-01;02:36;23.865;44.345;61.38;24.83;20.22;19.99;;25.96
2015-06-01;02:42;23.87;44.255;61.22;24.83;20.16;19.92;;25.95
2015-06-01;02:48;24.03;44.515;61.38;24.51;20.04;19.81;;25.92
2015-06-01;02:54;23.705;44.43;61.22;24.83;19.96;19.74;;25.9
2015-06-01;03:00;23.705;44.17;61.38;24.51;19.85;19.65;;25.88
2015-06-01;03:06;23.705;44.43;61.38;24.83;19.76;19.57;;25.86
2015-06-01;03:12;23.705;44.425;61.38;24.51;19.64;19.45;;25.83
2015-06-01;03:18;23.705;44.515;;;;19.46;;
2015-06-01;03:30;23.705;44.515;61.38;24.51;19.83;19.59;;25.77
2015-06-01;03:36;24.35;44.425;61.38;24.51;19.84;19.6;;25.75
2015-06-01;03:42;23.865;44.43;61.38;24.51;19.81;19.55;;25.73
2015-06-01;03:48;23.705;44.515;61.38;24.51;19.84;19.55;;25.7
2015-06-01;03:54;23.705;44.345;61.38;24.51;19.89;19.61;;25.69
2015-06-01;04:06;;;;;19.99;;;
2015-06-01;04:12;24.025;44.515;61.38;24.51;20.03;19.73;;25.63
2015-06-01;04:18;23.705;44.775;61.53;24.51;20.03;19.74;;25.61
2015-06-01;04:24;23.705;44.6;61.53;24.51;20.02;19.73;;25.59
2015-06-01;04:30;24.025;44.515;61.53;24.51;20.0;19.73;;25.57
2015-06-01;04:36;24.185;44.6;61.53;24.51;19.96;19.7;;25.55
2015-06-01;04:42;23.705;44.69;61.53;24.51;19.93;19.69;;25.53
2015-06-01;04:48;23.705;44.86;61.53;24.51;19.87;19.65;;25.51
