date;time;temp@1m;umid@1m;umid@3.5m;temp@3.5m;tempPout@Sx;tempPout@Dx;tempPin@Sx;tempPin@Dx;porta;finestraDx;finestraSx
2015-09-01;00:00;28.705;46.595;;;27.62;27.07;31.86;31.65;;;
2015-09-01;00:06;28.705;46.42;;;27.55;27.01;31.84;31.65;;;
2015-09-01;00:12;28.705;46.25;;;27.5;26.95;31.82;31.63;;;
2015-09-01;00:18;28.705;46.425;;;27.43;26.9;31.8;31.62;;;
2015-09-01;00:24;28.865;46.42;;;27.4;26.85;31.78;31.61;;;
2015-09-01;00:30;28.865;46.335;;;27.4;26.83;31.77;31.6;;;
2015-09-01;00:36;29.19;45.815;;;27.36;26.82;31.74;31.59;;;
2015-09-01;00:42;29.03;45.99;;;27.29;26.76;31.72;31.57;;;
2015-09-01;00:48;29.03;45.99;;;27.22;26.71;31.71;31.56;;;
2015-09-01;00:54;29.19;45.985;;;27.15;26.65;31.69;31.55;;;
2015-09-01;01:00;29.03;45.905;;;27.1;26.59;31.67;31.54;;;
2015-09-01;01:06;29.03;45.815;;;27.04;26.49;31.65;31.53;;;
2015-09-01;01:12;31.285;45.73;;;26.94;26.43;31.64;31.52;;;
2015-09-01;01:18;29.35;45.38;;;26.93;26.36;31.62;31.5;;;
2015-09-01;01:24;29.19;45.645;;;26.78;26.24;31.6;31.48;;;
2015-09-01;01:30;26.45;41.31;;;26.69;26.18;31.58;31.46;;;
2015-09-01;01:36;29.19;45.465;;;26.58;26.11;31.56;31.44;;;
2015-09-01;01:42;29.19;45.555;;;26.53;26.02;31.56;31.42;;;
2015-09-01;01:48;29.19;45.645;;;26.53;25.99;31.54;31.4;;;
2015-09-01;01:54;29.19;45.21;;;26.46;25.92;31.52;31.38;;;
2015-09-01;02:00;29.19;45.12;;;26.51;25.86;31.5;31.36;;;
2015-09-01;02:06;29.35;45.38;;;26.26;25.69;31.48;31.34;;;
2015-09-01;02:12;29.35;45.035;;;26.03;25.54;31.46;;;;
2015-09-01;02:18;29.35;45.035;;;25.88;25.41;31.43;31.32;;;
2015-09-01;02:24;29.19;45.035;;;25.72;25.26;31.42;31.3;;;
2015-09-01;02:30;29.675;44.69;;;25.6;25.17;31.39;31.27;;;
2015-09-01;02:36;29.35;44.69;;;25.57;25.14;31.37;31.24;;;
2015-09-01;02:42;29.515;44.6;;;25.51;25.09;31.35;31.22;;;
2015-09-01;02:48;29.515;44.865;;;25.4;24.96;31.32;31.19;;;
2015-09-01;02:54;29.35;44.515;;;25.35;24.92;31.3;31.16;;;
2015-09-01;03:00;29.35;44.685;;;25.27;24.86;31.28;31.14;;;
2015-09-01;03:06;29.03;45.21;;;25.11;24.74;31.26;31.11;;;
2015-09-01;03:12;29.35;44.775;;;25.04;24.69;31.23;31.07;;;
