date;time;temperatura;umidita;irraggiamento
2015-08-01;00:00;-5.713;45.308;
2015-08-01;00:06;-3.783;45.230;
2015-08-01;00:12;-3.482;45.435;
2015-08-01;00:18;-3.928;45.368;
2015-08-01;00:24;-5.780;45.675;
2015-08-01;00:30;-2.983;45.962;
2015-08-01;00:36;-14.442;46.003;
2015-08-01;00:42;-5.107;46.093;
2015-08-01;00:48;-14.187;46.372;
2015-08-01;00:54;-12.918;46.025;0.000
2015-08-01;01:00;-2.725;45.498;0.000
2015-08-01;01:06;13.518;45.313;0.000
2015-08-01;01:12;19.002;45.447;0.000
2015-08-01;01:18;22.165;46.073;0.000
2015-08-01;01:24;22.738;46.812;0.000
2015-08-01;01:30;22.723;47.400;0.000
2015-08-01;01:36;22.662;47.978;0.000
2015-08-01;01:42;22.558;48.333;0.000
2015-08-01;01:48;22.485;48.420;0.000
2015-08-01;01:54;7.618;48.708;0.000
2015-08-01;02:00;-0.852;48.980;0.000
2015-08-01;02:06;-8.365;49.330;0.000
2015-08-01;02:12;-17.972;49.743;0.000
2015-08-01;02:18;-18.153;50.180;0.000
2015-08-01;02:24;-6.667;50.503;0.000
2015-08-01;02:30;-30.718;50.990;0.000
2015-08-01;02:36;-25.718;51.340;0.000
2015-08-01;02:42;-2.063;51.512;0.000
2015-08-01;02:48;21.945;51.732;0.000
2015-08-01;02:54;21.933;51.713;0.000
2015-08-01;03:00;21.847;51.925;0.000
2015-08-01;03:06;20.870;52.292;0.000
2015-08-01;03:12;18.097;52.682;0.000
2015-08-01;03:18;20.350;53.050;0.000
2015-08-01;03:24;21.132;53.457;0.000
2015-08-01;03:30;21.323;53.887;0.000
2015-08-01;03:36;21.390;54.143;0.000
2015-08-01;03:42;21.430;54.207;0.000
2015-08-01;03:48;21.398;54.410;0.000
2015-08-01;03:54;21.357;54.725;0.000
2015-08-01;04:00;21.327;54.998;0.000
2015-08-01;04:06;21.350;55.167;0.000
2015-08-01;04:12;21.353;55.203;0.000
2015-08-01;04:18;21.328;55.323;0.000
2015-08-01;04:24;21.322;55.515;0.000
2015-08-01;04:30;21.337;55.520;0.000
2015-08-01;04:36;21.303;55.495;0.000
2015-08-01;04:42;21.282;55.437;0.000
2015-08-01;04:48;21.217;55.480;0.000
2015-08-01;04:54;21.152;55.677;0.000
2015-08-01;05:00;21.138;55.823;0.000
2015-08-01;05:06;21.167;55.712;0.000
2015-08-01;05:12;21.057;56.045;0.000
2015-08-01;05:18;20.982;56.435;0.000
2015-08-01;05:24;20.962;56.838;0.000
2015-08-01;05:30;20.815;57.290;0.000
2015-08-01;05:36;20.442;59.062;0.000
2015-08-01;05:42;1.610;60.857;0.000
2015-08-01;05:48;20.530;61.925;0.000
2015-08-01;05:54;20.558;62.220;0.000
2015-08-01;06:00;20.643;62.092;0.000
2015-08-01;06:06;20.600;61.540;0.000
2015-08-01;06:12;20.575;61.508;0.000
