date;time;temperatura;umidita;irraggiamento
2015-06-01;00:00;20.595;70.888;
2015-06-01;00:06;20.542;71.228;
2015-06-01;00:12;20.528;71.338;
2015-06-01;00:18;20.528;71.378;
2015-06-01;00:24;20.493;71.385;
2015-06-01;00:30;20.483;71.265;
2015-06-01;00:36;20.440;71.473;
2015-06-01;00:42;20.402;71.623;
2015-06-01;00:48;20.378;71.762;
2015-06-01;00:54;20.342;71.898;
2015-06-01;01:00;20.357;71.733;
2015-06-01;01:06;20.322;71.750;
2015-06-01;01:12;20.303;71.870;
2015-06-01;01:18;20.253;71.960;
2015-06-01;01:24;20.212;72.227;
2015-06-01;01:30;20.168;72.477;
2015-06-01;01:36;20.112;72.758;
2015-06-01;01:42;20.022;73.245;
2015-06-01;01:48;19.980;73.505;
2015-06-01;01:54;19.917;73.733;
2015-06-01;02:00;19.843;74.033;
2015-06-01;02:06;19.730;74.743;
2015-06-01;02:12;19.632;75.313;
2015-06-01;02:18;19.523;75.945;
2015-06-01;02:24;19.465;76.303;
2015-06-01;02:30;19.460;76.367;
2015-06-01;02:36;19.412;76.587;
2015-06-01;02:42;19.348;76.835;
2015-06-01;02:48;19.180;77.598;
2015-06-01;02:54;19.223;77.740;
2015-06-01;03:00;19.302;77.388;
2015-06-01;03:06;19.312;77.255;
2015-06-01;03:12;19.247;77.678;
2015-06-01;03:18;19.210;77.708;
2015-06-01;03:24;19.218;77.433;
2015-06-01;03:30;19.205;77.422;
2015-06-01;03:36;19.133;77.807;
2015-06-01;03:42;19.045;78.430;
2015-06-01;03:48;19.013;78.692;
2015-06-01;03:54;18.978;79.048;
2015-06-01;04:00;18.935;79.657;
2015-06-01;04:06;18.940;79.950;
2015-06-01;04:12;18.927;80.370;
2015-06-01;04:18;18.922;80.695;
2015-06-01;04:24;18.932;80.622;
2015-06-01;04:30;18.923;80.535;
2015-06-01;04:36;18.905;80.618;
2015-06-01;04:42;18.867;80.817;
2015-06-01;04:48;18.847;81.045;
2015-06-01;04:54;18.798;81.462;
2015-06-01;05:00;18.823;81.413;
2015-06-01;05:06;18.783;81.688;
2015-06-01;05:12;18.707;82.090;
2015-06-01;05:18;18.723;82.160;
2015-06-01;05:24;18.672;82.408;
2015-06-01;05:30;18.607;82.745;
2015-06-01;05:36;18.557;83.065;
2015-06-01;05:42;18.553;83.200;
2015-06-01;05:48;18.585;83.328;
2015-06-01;05:54;18.588;83.332;
2015-06-01;06:00;18.607;83.257;
2015-06-01;06:06;18.622;83.307;
2015-06-01;06:12;18.592;83.520;
2015-06-01;06:18;18.607;83.555;
2015-06-01;06:24;18.605;83.568;
2015-06-01;06:30;18.553;83.862;
2015-06-01;06:36;18.578;83.768;
2015-06-01;06:42;18.632;83.112;
2015-06-01;06:48;18.662;82.568;
2015-06-01;06:54;18.777;81.877;
2015-06-01;07:00;18.795;81.342;
2015-06-01;07:06;18.847;81.258;
2015-06-01;07:12;19.008;80.760;
2015-06-01;07:18;18.995;81.030;
2015-06-01;07:24;18.828;82.247;
2015-06-01;07:30;18.818;82.058;
2015-06-01;07:36;18.973;81.577;
2015-06-01;07:42;18.795;82.365;
2015-06-01;07:48;18.785;82.508;
2015-06-01;07:54;18.963;82.050;
2015-06-01;08:00;19.375;79.312;
2015-06-01;08:06;19.428;78.293;
2015-06-01;08:12;19.662;76.658;
2015-06-01;08:18;19.452;77.285;
2015-06-01;08:24;19.995;75.282;
2015-06-01;08:30;20.002;75.292;
2015-06-01;08:36;9.440;73.290;
2015-06-01;08:42;-36.700;75.048;
2015-06-01;08:48;-35.165;73.892;
2015-06-01;08:54;-35.023;73.377;
2015-06-01;09:00;-31.165;71.422;
2015-06-01;09:06;-29.405;70.840;
2015-06-01;09:12;-29.198;70.858;
2015-06-01;09:18;-31.683;70.653;
2015-06-01;09:24;-38.840;70.245;
2015-06-01;09:30;-39.322;68.712;
2015-06-01;09:36;-39.390;67.812;
2015-06-01;09:42;-37.428;67.362;
2015-06-01;09:48;-39.043;66.890;
2015-06-01;09:54;-38.200;65.798;
2015-06-01;10:00;-35.025;64.738;
2015-06-01;10:06;-1.910;63.555;
2015-06-01;10:12;15.685;62.605;
2015-06-01;10:18;22.603;61.527;
2015-06-01;10:24;22.302;60.685;
2015-06-01;10:30;22.210;60.918;
2015-06-01;10:36;22.145;60.340;
2015-06-01;10:42;22.443;56.500;
2015-06-01;10:48;23.037;54.615;
2015-06-01;10:54;22.720;52.435;
2015-06-01;11:00;22.662;52.930;
2015-06-01;11:06;23.453;51.028;
2015-06-01;11:12;22.967;53.453;
2015-06-01;11:18;23.080;55.585;
2015-06-01;11:24;22.857;56.163;
2015-06-01;11:30;23.543;55.013;
2015-06-01;11:36;23.465;54.940;
2015-06-01;11:42;23.710;53.575;
2015-06-01;11:48;23.660;53.712;
2015-06-01;11:54;23.720;53.482;
2015-06-01;12:00;24.423;51.057;
2015-06-01;12:06;23.720;51.512;
2015-06-01;12:12;23.558;52.463;
