date;time;temperatura;umidita;irraggiamento
2015-07-01;00:00;26.552;52.595;
2015-07-01;00:06;26.562;52.548;
2015-07-01;00:12;26.428;53.037;
2015-07-01;00:18;26.418;52.748;
2015-07-01;00:24;26.330;53.043;
2015-07-01;00:30;26.270;52.838;
2015-07-01;00:36;26.337;52.362;
2015-07-01;00:42;26.305;52.632;
2015-07-01;00:48;26.227;53.068;
2015-07-01;00:54;26.147;53.752;
2015-07-01;01:00;26.010;54.583;0.000
2015-07-01;01:06;25.843;55.433;0.000
2015-07-01;01:12;25.790;56.027;0.000
2015-07-01;01:18;25.697;56.820;0.000
2015-07-01;01:24;25.573;57.442;0.000
2015-07-01;01:30;25.485;58.022;0.000
2015-07-01;01:36;25.382;58.583;0.000
2015-07-01;01:42;25.268;59.165;0.000
2015-07-01;01:48;25.153;59.713;0.000
2015-07-01;01:54;25.030;60.045;0.000
2015-07-01;02:00;24.982;60.290;0.000
2015-07-01;02:06;24.912;60.537;0.000
2015-07-01;02:12;24.848;60.842;0.000
2015-07-01;02:18;24.748;61.038;0.000
2015-07-01;02:24;24.697;61.183;0.000
2015-07-01;02:30;24.580;61.562;0.000
2015-07-01;02:36;24.498;61.715;0.000
2015-07-01;02:42;24.467;61.580;0.000
2015-07-01;02:48;24.432;61.623;0.000
2015-07-01;02:54;24.368;61.790;0.000
2015-07-01;03:00;24.345;61.780;0.000
2015-07-01;03:06;24.342;61.680;0.000
2015-07-01;03:12;24.312;61.757;0.000
2015-07-01;03:18;24.312;61.677;0.000
2015-07-01;03:24;24.225;61.912;0.000
2015-07-01;03:30;24.183;62.033;0.000
2015-07-01;03:36;24.148;62.120;0.000
2015-07-01;03:42;24.110;62.188;0.000
2015-07-01;03:48;24.013;62.558;0.000
2015-07-01;03:54;23.935;62.698;0.000
2015-07-01;04:00;23.872;62.875;0.000
2015-07-01;04:06;23.840;62.823;0.000
2015-07-01;04:12;23.808;62.767;0.000
2015-07-01;04:18;23.757;62.705;0.000
2015-07-01;04:24;23.702;62.825;0.000
2015-07-01;04:30;23.633;62.967;0.000
2015-07-01;04:36;23.460;63.127;0.000
2015-07-01;04:42;22.933;63.530;0.000
2015-07-01;04:48;15.013;63.695;0.000
2015-07-01;04:54;2.475;63.643;0.000
2015-07-01;05:00;17.820;63.555;0.000
2015-07-01;05:06;22.653;63.473;0.000
2015-07-01;05:12;-2.532;63.795;0.000
2015-07-01;05:18;5.582;63.255;0.000
2015-07-01;05:24;4.450;63.077;0.000
2015-07-01;05:30;-10.072;63.267;0.000
2015-07-01;05:36;-10.125;63.093;0.333
2015-07-01;05:42;18.230;62.913;3.000
2015-07-01;05:48;22.827;62.875;6.333
2015-07-01;05:54;23.015;62.663;10.600
2015-07-01;06:00;23.062;62.578;15.500
2015-07-01;06:06;23.048;62.702;20.000
2015-07-01;06:12;23.117;62.397;26.167
2015-07-01;06:18;23.123;62.618;31.667
