date;time;temperatura;umidita;irraggiamento
2015-05-01;02:00;14.883;65.388;
2015-05-01;02:06;14.848;65.835;
2015-05-01;02:12;14.813;66.193;
2015-05-01;02:18;14.653;66.567;
2015-05-01;02:24;14.493;66.662;
2015-05-01;02:30;14.563;66.713;
2015-05-01;02:36;14.587;66.882;
2015-05-01;02:42;14.575;67.127;
2015-05-01;02:48;14.540;67.207;
2015-05-01;02:54;14.483;67.528;
2015-05-01;03:00;14.473;67.758;
2015-05-01;03:06;14.490;67.932;
2015-05-01;03:12;14.543;67.927;
2015-05-01;03:18;14.510;68.275;
2015-05-01;03:24;14.490;68.558;
2015-05-01;03:30;14.545;68.392;
2015-05-01;03:36;14.550;68.333;
2015-05-01;03:42;14.535;68.563;
2015-05-01;03:48;14.533;68.778;
2015-05-01;03:54;14.532;69.018;
2015-05-01;04:00;14.528;68.928;
2015-05-01;04:06;14.572;68.867;
2015-05-01;04:12;14.620;68.923;
2015-05-01;04:18;14.560;69.073;
2015-05-01;04:24;14.565;69.242;
2015-05-01;04:30;14.600;69.147;
2015-05-01;04:36;14.572;69.095;
2015-05-01;04:42;14.587;69.193;
2015-05-01;04:48;14.540;69.392;
2015-05-01;04:54;14.535;69.653;
2015-05-01;05:00;14.578;69.595;
2015-05-01;05:06;14.647;69.370;
2015-05-01;05:12;14.668;69.405;
2015-05-01;05:18;14.638;69.565;
2015-05-01;05:24;14.652;69.553;
2015-05-01;05:30;14.633;69.605;
2015-05-01;05:36;14.653;69.800;
2015-05-01;05:42;14.663;69.812;
2015-05-01;05:48;14.665;69.657;
2015-05-01;05:54;14.650;69.552;
2015-05-01;06:00;14.682;69.633;
2015-05-01;06:06;14.680;70.185;
2015-05-01;06:12;14.655;69.645;
2015-05-01;06:18;14.687;69.635;
2015-05-01;06:24;14.668;69.142;
2015-05-01;06:30;14.697;69.318;
2015-05-01;06:36;14.682;69.192;
2015-05-01;06:42;14.712;68.798;
2015-05-01;06:48;14.712;67.878;
2015-05-01;06:54;14.745;67.997;
2015-05-01;07:00;14.768;67.953;
2015-05-01;07:06;14.748;68.463;
2015-05-01;07:12;14.712;68.765;
2015-05-01;07:18;14.760;68.598;
2015-05-01;07:24;14.812;68.673;
2015-05-01;07:30;14.673;71.858;
2015-05-01;07:36;14.422;74.415;
2015-05-01;07:42;14.550;74.208;
2015-05-01;07:48;14.522;74.010;
2015-05-01;07:54;14.602;73.928;
2015-05-01;08:00;14.613;73.873;
2015-05-01;08:06;14.578;73.732;
2015-05-01;08:12;14.578;73.960;
2015-05-01;08:18;14.578;73.817;
2015-05-01;08:24;14.642;73.325;
2015-05-01;08:30;14.802;72.958;
2015-05-01;08:36;14.833;71.895;
2015-05-01;08:42;14.898;71.397;
2015-05-01;08:48;14.940;70.962;
2015-05-01;08:54;13.728;70.293;
2015-05-01;09:00;14.685;69.965;
2015-05-01;09:06;14.672;71.153;
2015-05-01;09:12;14.532;74.860;
2015-05-01;09:18;14.347;75.737;
2015-05-01;09:24;14.272;76.640;
2015-05-01;09:30;14.157;77.582;
2015-05-01;09:36;14.088;78.620;
2015-05-01;09:42;14.002;79.280;
2015-05-01;09:48;13.985;80.813;
2015-05-01;09:54;14.020;81.730;
2015-05-01;10:00;13.937;81.913;
2015-05-01;10:06;13.878;82.568;
2015-05-01;10:12;14.045;82.412;
2015-05-01;10:18;14.062;82.330;
2015-05-01;10:24;13.847;79.833;
2015-05-01;10:30;13.903;77.092;
2015-05-01;10:36;13.942;73.772;
2015-05-01;10:42;13.942;73.277;
2015-05-01;10:48;13.810;72.425;
2015-05-01;10:54;13.710;72.208;
2015-05-01;11:00;13.732;72.097;
2015-05-01;11:06;13.752;71.580;
2015-05-01;11:12;13.788;71.232;
2015-05-01;11:18;13.967;70.605;
2015-05-01;11:24;14.038;70.570;
2015-05-01;11:30;14.048;69.373;
2015-05-01;11:36;14.117;68.747;
2015-05-01;11:42;14.140;68.898;
2015-05-01;11:48;14.238;68.730;
2015-05-01;11:54;14.240;68.440;
2015-05-01;12:00;14.315;68.107;
2015-05-01;12:06;14.278;68.485;
2015-05-01;12:12;14.290;68.928;
2015-05-01;12:18;14.213;69.720;
2015-05-01;12:24;14.313;69.930;
2015-05-01;12:30;14.368;70.285;
2015-05-01;12:36;14.458;70.360;
2015-05-01;12:42;14.400;70.958;
2015-05-01;12:48;14.423;71.415;
2015-05-01;12:54;14.395;71.765;
2015-05-01;13:00;14.388;72.177;
2015-05-01;13:06;14.507;72.370;
2015-05-01;13:12;14.527;72.610;
2015-05-01;13:18;14.620;72.550;
2015-05-01;13:24;14.638;72.688;
2015-05-01;13:30;14.570;73.228;
2015-05-01;13:36;14.627;73.295;
2015-05-01;13:42;14.577;73.910;
2015-05-01;13:48;14.632;74.052;
2015-05-01;13:54;14.700;74.242;
2015-05-01;14:00;14.660;74.913;
2015-05-01;14:06;14.587;75.698;
2015-05-01;14:12;14.522;76.593;
2015-05-01;14:18;14.553;76.592;
2015-05-01;14:24;14.493;76.843;
2015-05-01;14:30;14.425;77.392;
2015-05-01;14:36;14.383;78.073;
2015-05-01;14:42;14.412;78.682;
2015-05-01;14:48;14.273;78.248;
2015-05-01;14:54;14.332;77.835;
2015-05-01;15:00;14.340;77.200;
2015-05-01;15:06;14.325;77.218;
2015-05-01;15:12;14.383;77.455;
2015-05-01;15:18;14.415;77.988;
2015-05-01;15:24;14.352;78.842;
2015-05-01;15:30;14.338;79.775;
2015-05-01;15:36;14.310;80.872;
2015-05-01;15:42;14.108;82.598;
2015-05-01;15:48;13.908;84.202;
2015-05-01;15:54;13.755;85.488;
2015-05-01;16:00;13.743;86.697;
2015-05-01;16:06;2.255;87.530;
2015-05-01;16:12;-24.133;88.618;
2015-05-01;16:18;-42.708;89.647;
2015-05-01;16:24;-24.972;90.812;
2015-05-01;16:30;2.255;92.460;
2015-05-01;16:36;-21.263;93.285;
2015-05-01;16:42;-25.592;94.158;
2015-05-01;16:48;-21.555;94.702;
2015-05-01;16:54;11.523;95.505;
2015-05-01;17:00;10.728;95.928;
2015-05-01;17:06;12.327;96.275;
2015-05-01;17:12;12.135;96.615;
2015-05-01;17:18;12.007;96.840;
