date;time;temperatura;umidita;irraggiamento
2015-09-01;00:54;;;0.000
2015-09-01;01:00;;;0.000
2015-09-01;01:06;;;0.000
2015-09-01;01:12;;;0.000
2015-09-01;01:18;;;0.000
2015-09-01;01:24;;;0.000
2015-09-01;01:30;;;0.000
2015-09-01;01:36;;;0.000
2015-09-01;01:42;;;0.000
2015-09-01;01:48;;;0.000
2015-09-01;01:54;;;0.000
2015-09-01;02:00;;;0.000
2015-09-01;02:06;;;0.000
2015-09-01;02:12;;;0.000
2015-09-01;02:18;;;0.000
2015-09-01;02:24;;;0.000
2015-09-01;02:30;;;0.000
2015-09-01;02:36;;;0.000
2015-09-01;02:42;;;0.000
2015-09-01;02:48;;;0.000
2015-09-01;02:54;;;0.000
2015-09-01;03:00;;;0.000
2015-09-01;03:06;;;0.000
2015-09-01;03:12;;;0.000
2015-09-01;03:18;;;0.000
2015-09-01;03:24;;;0.000
2015-09-01;03:30;;;0.000
2015-09-01;03:36;;;0.000
2015-09-01;03:42;;;0.000
2015-09-01;03:48;;;0.000
2015-09-01;03:54;;;0.000
2015-09-01;04:00;;;0.000
2015-09-01;04:06;;;0.000
2015-09-01;04:12;;;0.000
2015-09-01;04:18;;;0.000
2015-09-01;04:24;;;0.000
2015-09-01;04:30;;;0.000
2015-09-01;04:36;;;0.000
2015-09-01;04:42;;;0.000
2015-09-01;04:48;;;0.000
2015-09-01;04:54;;;0.000
2015-09-01;05:00;;;0.000
2015-09-01;05:06;;;0.000
2015-09-01;05:12;;;0.000
2015-09-01;05:18;;;0.000
2015-09-01;05:24;;;0.000
2015-09-01;05:30;;;0.000
2015-09-01;05:36;;;0.000
2015-09-01;05:42;;;0.000
2015-09-01;05:48;;;0.000
2015-09-01;05:54;;;0.000
2015-09-01;06:00;;;0.000
2015-09-01;06:06;;;0.000
2015-09-01;06:12;;;0.000
2015-09-01;06:18;;;0.000
2015-09-01;06:24;;;0.000
2015-09-01;06:30;;;0.000
2015-09-01;06:36;;;0.333
2015-09-01;06:42;;;2.667
2015-09-01;06:48;;;8.000
2015-09-01;06:54;;;14.667
2015-09-01;07:00;;;19.667
2015-09-01;07:06;;;24.000
2015-09-01;07:12;;;30.000
2015-09-01;07:18;;;37.167
2015-09-01;07:24;;;49.167
2015-09-01;07:30;;;65.333
2015-09-01;07:36;;;118.167
2015-09-01;07:42;;;140.000
2015-09-01;07:48;;;181.167
2015-09-01;07:54;;;192.833
2015-09-01;08:00;;;203.000
2015-09-01;08:06;;;220.167
2015-09-01;08:12;;;244.167
2015-09-01;08:18;;;269.333
2015-09-01;08:24;;;292.167
2015-09-01;08:30;;;325.500
2015-09-01;08:36;;;385.667
2015-09-01;08:42;;;424.333
2015-09-01;08:48;;;289.833
2015-09-01;08:54;;;423.500
2015-09-01;09:00;;;445.000
2015-09-01;09:06;;;464.333
2015-09-01;09:12;;;491.000
2015-09-01;09:18;;;521.500
2015-09-01;09:24;;;551.500
2015-09-01;09:30;;;578.833
2015-09-01;09:36;;;604.500
2015-09-01;09:42;;;629.833
2015-09-01;09:48;;;649.833
2015-09-01;09:54;;;675.500
2015-09-01;10:00;;;699.333
2015-09-01;10:06;;;724.500
2015-09-01;10:12;;;741.333
2015-09-01;10:18;;;760.167
2015-09-01;10:24;;;780.167
2015-09-01;10:30;;;797.333
2015-09-01;10:36;;;818.500
2015-09-01;10:42;;;837.667
2015-09-01;10:48;;;859.167
2015-09-01;10:54;;;873.667
2015-09-01;11:00;;;917.667
2015-09-01;11:06;;;959.167
2015-09-01;11:12;;;945.667
2015-09-01;11:18;;;840.167
2015-09-01;11:24;;;1101.000
2015-09-01;11:30;;;1052.167
2015-09-01;11:36;;;1083.167
2015-09-01;11:42;;;1027.667
2015-09-01;11:48;;;1256.833
2015-09-01;11:54;;;1015.167
2015-09-01;12:00;;;819.833
2015-09-01;12:06;;;1175.167
2015-09-01;12:12;;;1025.667
2015-09-01;12:18;;;793.000
2015-09-01;12:24;;;952.333
2015-09-01;12:30;;;1167.833
2015-09-01;12:36;;;909.167
2015-09-01;12:42;;;1037.500
2015-09-01;12:48;;;773.333
2015-09-01;12:54;;;642.167
2015-09-01;13:00;;;413.667
2015-09-01;13:06;;;476.000
2015-09-01;13:12;;;619.833
2015-09-01;13:18;;;421.833
2015-09-01;13:24;;;291.833
2015-09-01;13:30;;;291.667
2015-09-01;13:36;;;213.833
2015-09-01;13:42;;;161.833
2015-09-01;13:48;;;218.500
2015-09-01;13:54;;;276.000
2015-09-01;14:00;;;194.167
2015-09-01;14:06;;;183.667
2015-09-01;14:12;;;184.667
2015-09-01;14:18;;;212.167
2015-09-01;14:24;;;267.000
2015-09-01;14:30;;;350.667
2015-09-01;14:36;;;494.333
2015-09-01;14:42;;;655.500
2015-09-01;14:48;;;1046.833
2015-09-01;14:54;;;1152.000
2015-09-01;15:00;;;1216.167
2015-09-01;15:06;;;1138.833
2015-09-01;15:12;;;1091.500
2015-09-01;15:18;;;1009.833
2015-09-01;15:24;;;885.333
2015-09-01;15:30;;;725.667
2015-09-01;15:36;;;804.667
2015-09-01;15:42;;;844.167
2015-09-01;15:48;;;975.500
2015-09-01;15:54;;;934.167
2015-09-01;16:00;;;866.167
2015-09-01;16:06;;;871.000
2015-09-01;16:12;;;890.167
2015-09-01;16:18;;;824.167
2015-09-01;16:24;;;788.167
2015-09-01;16:30;;;771.333
2015-09-01;16:36;;;741.333
2015-09-01;16:42;;;715.500
2015-09-01;16:48;;;702.000
2015-09-01;16:54;;;644.833
2015-09-01;17:00;;;251.667
2015-09-01;17:06;;;280.500
2015-09-01;17:12;;;266.500
2015-09-01;17:18;;;282.667
2015-09-01;17:24;;;591.333
2015-09-01;17:30;;;596.167
2015-09-01;17:36;;;571.167
2015-09-01;17:42;;;506.500
2015-09-01;17:48;;;449.667
2015-09-01;17:54;;;415.833
2015-09-01;18:00;;;377.167
2015-09-01;18:06;;;357.167
2015-09-01;18:12;;;338.833
2015-09-01;18:18;;;313.833
2015-09-01;18:24;;;283.500
2015-09-01;18:30;;;252.500
2015-09-01;18:36;;;227.167
2015-09-01;18:42;;;206.333
